"","coef","std","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax","df.combo"
"1",-0.000961026616846693,"0.000417754176212874",-0.00179796142329579,-0.000160254376358777,0,"lag.data","ns",2,1,1,"211"
"2",0.00123183944467955,"0.000350055189139604",0.000530787305115765,0.00190327938428721,0,"lag.data","ns",3,1,1,"311"
"3",0.00216422423955573,"0.000334484414247578",0.00149428994536283,0.00280582291175994,0,"lag.data","ns",4,1,1,"411"
"4",0.00204742301373895,"0.000336560077135364",0.00137358351831305,0.00269322460810493,0,"lag.data","ns",5,2,2,"522"
"5",0.00182524830238956,"0.000336045191888708",0.00115263546171386,0.00247023786058238,0,"lag.data","ns",6,2,2,"622"
"6",0.00189679507391387,"0.000332276316663823",0.00123175749124168,0.00253460019270551,0,"lag.data","ns",7,2,2,"722"
"7",0.00183869751083475,"0.000333974957725068",0.00117015417224939,0.00247965794123634,0,"lag.data","ns",9,2,2,"922"
"8",0.00198026034288556,"0.000333582560343927",0.00131257651018777,0.002620531824718,0,"lag.data","ns",11,3,3,"1133"
"9",0.00202010652780234,"0.000335049910592183",0.00134949310477444,0.00266319241068578,0,"lag.data","ns",14,3,3,"1433"
"10",-3.60866986132078e-05,"0.00038093959834741",-0.000799470417349741,0.000694032481572128,1,"lag.data","ns",2,1,1,"211"
"11",0.00206204822398656,"0.000319151448656025",0.00142316716943075,0.00267457821444623,1,"lag.data","ns",3,1,1,"311"
"12",0.0030344390100565,"0.000305085061415897",0.00242387045286129,0.00362020906322017,1,"lag.data","ns",4,1,1,"411"
"13",0.002911817999447,"0.000307192262279716",0.00229724448978181,0.00350181882895326,1,"lag.data","ns",5,2,2,"522"
"14",0.00263374766355837,"0.000308510975584897",0.00201668258238224,0.00322640101464791,1,"lag.data","ns",6,2,2,"622"
"15",0.00262529610780751,"0.000306386461008917",0.00201256093546711,0.00321395426786396,1,"lag.data","ns",7,2,2,"722"
"16",0.00257491296561732,"0.000307397866844462",0.0019600727441834,0.00316543332510819,1,"lag.data","ns",9,2,2,"922"
"17",0.00270318887631657,"0.000306654299794789",0.00208986642742032,0.00329230410039647,1,"lag.data","ns",11,3,3,"1133"
"18",0.0027105864436064,"0.000308397474510526",0.00209374070416675,0.00330300462231347,1,"lag.data","ns",14,3,3,"1433"
"19",-0.000702679227011215,"0.0004015610111227",-0.0015073280572733,6.69336560757662e-05,2,"lag.data","ns",2,1,1,"211"
"20",0.00161070834426002,"0.00033523042915733",0.00093930270373069,0.00225371571104212,2,"lag.data","ns",3,1,1,"311"
"21",0.00269764883527597,"0.000320102080559589",0.0020565798198254,0.00331177895027059,2,"lag.data","ns",4,1,1,"411"
"22",0.00253365055057533,"0.000321863402096023",0.00188933447611251,0.00315141178853518,2,"lag.data","ns",5,2,2,"522"
"23",0.00219387539863644,"0.000324691012168069",0.00154408692098288,0.0028172165395097,2,"lag.data","ns",6,2,2,"622"
"24",0.00213902232917361,"0.00032338997999695",0.00149193087331288,0.00275996216233372,2,"lag.data","ns",7,2,2,"722"
"25",0.00208277046708224,"0.000324425903028461",0.00143354371934543,0.00270563735792257,2,"lag.data","ns",9,2,2,"922"
"26",0.00219479739436443,"0.000323779862597865",0.00154688735364291,0.00281643865678536,2,"lag.data","ns",11,3,3,"1133"
"27",0.00215093872471418,"0.000326208568972908",0.00149813292294143,0.00277719178158759,2,"lag.data","ns",14,3,3,"1433"
"28",-0.000990050772069213,"0.000413293359421657",-0.00181779781052461,-0.000197595981976981,3,"lag.data","ns",2,1,1,"211"
"29",0.00151747369077332,"0.000344513087299017",0.000827564512705553,0.00217833989830975,3,"lag.data","ns",3,1,1,"311"
"30",0.00271285024753066,"0.000328577720890527",0.0020548228558312,0.00334323253774061,3,"lag.data","ns",4,1,1,"411"
"31",0.00252056793106637,"0.000329688828619101",0.00186064089414758,0.00315338677791441,3,"lag.data","ns",5,2,2,"522"
"32",0.00212957386544945,"0.000333745629195666",0.00146174494419144,0.00277035746216591,3,"lag.data","ns",6,2,2,"622"
"33",0.00202439816201279,"0.000333576221913236",0.00135702315468704,0.00266497016495865,3,"lag.data","ns",7,2,2,"722"
"34",0.00197119182327494,"0.000334418039316896",0.00130211203180401,0.00261335968272444,3,"lag.data","ns",9,2,2,"922"
"35",0.0020876878115979,"0.000334380793952389",0.00141876880719385,0.00272986239941959,3,"lag.data","ns",11,3,3,"1133"
