lag.smoke,lag.smoke.low,lag.smoke.high,lag,df.date,df.tmmx,df.rmax,pm.threshold
0.06854623,-0.025690786,0.161725712,0,2,1,1,20
0.04089443,-0.055736994,0.13651717,0,3,1,1,20
0.162024498,0.064649307,0.258471037,0,4,1,1,20
0.168663359,0.069858819,0.266535084,0,5,2,2,20
0.159621168,0.061701482,0.256604902,0,6,2,2,20
0.163580889,0.065416476,0.260812673,0,7,2,2,20
0.190169249,0.089371309,0.290134433,0,9,2,2,20
0.191857408,0.092205067,0.290689881,0,11,3,3,20
0.191184006,0.091310086,0.290234064,0,14,3,3,20
0.038971967,-0.056926958,0.13372021,1,2,1,1,20
0.005490095,-0.093276575,0.103164411,1,3,1,1,20
0.150966514,0.051103961,0.249806419,1,4,1,1,20
0.173282888,0.071115394,0.27444529,1,5,2,2,20
0.163020609,0.061585376,0.26345504,1,6,2,2,20
0.161377328,0.059976303,0.261764829,1,7,2,2,20
0.181705984,0.07813513,0.284355003,1,9,2,2,20
0.175426541,0.073358451,0.276578221,1,11,3,3,20
0.174819098,0.072623981,0.276102623,1,14,3,3,20
0.152207966,0.058909409,0.244447453,2,2,1,1,20
0.123512052,0.027240837,0.218772735,2,3,1,1,20
0.280505765,0.18316427,0.376876215,2,4,1,1,20
0.326343159,0.225996383,0.425766628,2,5,2,2,20
0.315496369,0.215591731,0.41449744,2,6,2,2,20
0.309621193,0.209975376,0.408336965,2,7,2,2,20
0.33237726,0.23020826,0.433737791,2,9,2,2,20
0.31866787,0.218192473,0.418338529,2,11,3,3,20
0.319167119,0.218524987,0.419023962,2,14,3,3,20
0.000995588,-0.092825351,0.093706512,3,2,1,1,20
-0.03752512,-0.134543589,0.058442555,3,3,1,1,20
0.116702033,0.018653162,0.213745657,3,4,1,1,20
0.166371289,0.065509712,0.266283512,3,5,2,2,20
0.154497457,0.053966031,0.254105532,3,6,2,2,20
0.14799107,0.047665027,0.247365064,3,7,2,2,20
0.166986372,0.064477264,0.268658967,3,9,2,2,20
0.152467636,0.051508544,0.252607195,3,11,3,3,20
0.152842073,0.051818033,0.25306484,3,14,3,3,20
-0.032566526,-0.126897954,0.060699637,4,2,1,1,20
-0.078252965,-0.176378808,0.018878205,4,3,1,1,20
0.095927806,-0.00355154,0.194432808,4,4,1,1,20
