"","lag.base","lag.base.low","lag.base.high","lag.hazard","lag.hazard.low","lag.hazard.high","lag","df.date","df.tmmx","df.rmax"
"gm",0.00920990425862135,0.006949265100209,0.0113216400129155,0.0016691369654933,0.000961636383567796,0.00234574294313347,0,5,2,2
"gm",0.00767196806949063,0.00517291369604485,0.0100091781756529,0.0027385640393042,0.00210603522154653,0.00334469019494238,1,5,2,2
"gm",0.00915751526478676,0.00679717754022412,0.0113617170611159,0.00224715824336749,0.00157410554517233,0.00289095587641897,2,5,2,2
"gm",0.0107196105664546,0.00850973983932404,0.0127831807423136,0.00211915261897461,0.00142236011675307,0.00278559611041669,3,5,2,2
"gm",0.0101674674936925,0.00772644514342622,0.0124446944666581,0.00231647803029014,0.00162324247041043,0.00297920818707985,4,5,2,2
"gm",0.011397650256056,0.00894567154057796,0.0136810330900841,0.00273202296217644,0.00204619685336272,0.00338778025277391,5,5,2,2
"gm",0.0101084594473785,0.007845971113507,0.0122239894045369,0.00289710379127649,0.00219609049671214,0.00356648276113581,6,5,2,2
"gm",0.00769510691796757,0.00502175244312759,0.010192850144761,0.00329777226817386,0.00261146208708231,0.00395280287919419,7,5,2,2
"gm",0.00713663589406992,0.00441854695386344,0.00968255742615931,0.00292309358957014,0.00220034946787707,0.00361011238955937,8,5,2,2
"gm",0.00535610393808497,0.00173075063728312,0.00891469686651756,0.00344141477526381,0.00273077976532137,0.00411663427838348,9,5,2,2
"gm",0.00474983879049704,0.00109308122735239,0.00834077379271844,0.00373762161099988,0.00294627626365678,0.00448604920847292,10,5,2,2
"gm",0.000679320455549242,-0.00313526777785599,0.00443085398574018,0.00449091240141958,0.00362118729141048,0.00530954870898291,11,5,2,2
"gm",0.00544990844893144,0.00169714778359936,0.00913975388272304,0.00382113764779671,0.00264390889962522,0.0049262164332797,12,5,2,2
"gm",0.0039938981429824,0.000306938529391546,0.0076137360544467,0.003780336311704,0.00243974413089729,0.00502575094821803,13,5,2,2
"gm",0.00632619832695729,0.002583622109738,0.010006774655019,0.0032781602617264,0.00165626633922065,0.00483871793850589,14,5,2,2
