"","coef","std","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax","df.combo"
"1",0.000800178252729827,"0.000865914466929903",-0.00102122695393287,0.00238036711658777,0,"lag.data","ns",2,1,1,"211"
"2",0.0021901025920017,"0.000808387878044699",0.000486680498935543,0.00366448357501145,0,"lag.data","ns",3,1,1,"311"
"3",0.00185215738090955,"0.000833217641270252",9.90558967007999e-05,0.00337375933014714,0,"lag.data","ns",4,1,1,"411"
"4",0.00147705917630469,"0.000817811608407549",-0.000238422144048062,0.00297517494894952,0,"lag.data","ns",5,2,2,"522"
"5",0.00149575647971741,"0.000813294274631092",-0.000210382041173889,0.00298569581657583,0,"lag.data","ns",6,2,2,"622"
"6",0.00149566940017002,"0.000812772378214541",-0.000209903197043786,0.00298420813818568,0,"lag.data","ns",7,2,2,"722"
"7",0.00156864992631311,"0.000807653214438448",-0.000126575505615778,0.00304756766622026,0,"lag.data","ns",8,2,2,"822"
"8",0.00185294081407474,"0.000819969769053116",0.00013166572453213,0.00335428359265688,0,"lag.data","ns",9,3,3,"933"
"9",0.00195301806841414,"0.000822327417017228",0.000226994095157095,0.00345899048722078,0,"lag.data","ns",10,3,3,"1033"
"10",0.00135665242738184,"0.000787930646763847",-0.00029922791044522,0.00279713195466311,1,"lag.data","ns",2,1,1,"211"
"11",0.0027399385205416,"0.000736183735736686",0.00119206906724963,0.00408679085624842,1,"lag.data","ns",3,1,1,"311"
"12",0.00242104372135506,"0.00076146665111288",0.000822501567472539,0.00381607963580267,1,"lag.data","ns",4,1,1,"411"
"13",0.00195560904622066,"0.000755592974828172",0.000374038467912133,0.00334398772469456,1,"lag.data","ns",5,2,2,"522"
"14",0.00195690813180791,"0.000752587133023663",0.00038204611432646,0.00334012636235693,1,"lag.data","ns",6,2,2,"622"
"15",0.00194225589299235,"0.00075217765939074",0.000367928116124234,0.00332445039205515,1,"lag.data","ns",7,2,2,"722"
"16",0.00198933099613795,"0.000747246099434634",0.000424987307171565,0.00336217211930162,1,"lag.data","ns",8,2,2,"822"
"17",0.00219466981377396,"0.000759344615579438",0.000603989772729014,0.00358902186836204,1,"lag.data","ns",9,3,3,"933"
"18",0.00228449801738488,"0.000760955601931348",0.000690531341821264,0.00368201556557212,1,"lag.data","ns",10,3,3,"1033"
"19",0.00127524788667827,"0.000782434623387108",-0.000371471571806697,0.00270358546098078,2,"lag.data","ns",2,1,1,"211"
"20",0.00268535117684287,"0.000729518489984224",0.00114908543514713,0.00401800600881181,2,"lag.data","ns",3,1,1,"311"
"21",0.00234784109070055,"0.000757108488160425",0.00075633177469668,0.00373315047534713,2,"lag.data","ns",4,1,1,"411"
"22",0.00183448628116967,"0.000757351751233557",0.000247162203504443,0.00322415776849384,2,"lag.data","ns",5,2,2,"522"
"23",0.00182543018794544,"0.000755611116949182",0.000242395983116897,0.00321263077046872,2,"lag.data","ns",6,2,2,"622"
"24",0.0017982316874715,"0.000756114021441728",0.000214048598863405,0.00318629415053871,2,"lag.data","ns",7,2,2,"722"
"25",0.00182448335071831,"0.000751523626609876",0.000249642057391988,0.00320389059077473,2,"lag.data","ns",8,2,2,"822"
"26",0.001935248454185,"0.000763137027319781",0.000334469114842762,0.00333456883879892,2,"lag.data","ns",9,3,3,"933"
"27",0.00200880261116988,"0.00076421381068027",0.000405654028700733,0.00341002357737791,2,"lag.data","ns",10,3,3,"1033"
"28",0.00137270280877534,"0.000783499183157977",-0.000276729269669409,0.00280245363050026,3,"lag.data","ns",2,1,1,"211"
"29",0.00285139856156024,"0.000728130428849912",0.00131710688963322,0.00418062661096917,3,"lag.data","ns",3,1,1,"311"
"30",0.00249166493448831,"0.000759041689190714",0.000895588745228289,0.0038799691021854,3,"lag.data","ns",4,1,1,"411"
"31",0.00194575568635047,"0.000763546300711093",0.000344614728732517,0.00334583801276889,3,"lag.data","ns",5,2,2,"522"
"32",0.00192536911428366,"0.000763564239529652",0.00032528989946552,0.00332663880872514,3,"lag.data","ns",6,2,2,"622"
"33",0.00188790003027284,"0.000765276907243219",0.000284487993894727,0.00329258662986404,3,"lag.data","ns",7,2,2,"722"
"34",0.00189004763453247,"0.000761390910242297",0.00029471531775433,0.00328759373204296,3,"lag.data","ns",8,2,2,"822"
"35",0.00198333902340366,"0.000768942816563205",0.000369195313933723,0.00339194394203002,3,"lag.data","ns",9,3,3,"933"
"36",0.00203735583316703,"0.000769488048550098",0.000421656763734791,0.0034465849509034,3,"lag.data","ns",10,3,3,"1033"
