"","coef","std","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax","df.combo"
"1",0.000440917957202339,"0.000879676381799863",-0.00140596289406875,0.00204852872252227,0,"lag.data","ns",2,1,1,"211"
"2",0.00193341333944243,"0.000812690682188361",0.000222941600324593,0.00341700499707177,0,"lag.data","ns",3,1,1,"311"
"3",0.0017414831374645,"0.000834001686747435",-1.20847297232928e-05,0.00326505770068485,0,"lag.data","ns",4,1,1,"411"
"4",0.00129019518807947,"0.000827745813401176",-0.000444535139004747,0.00280721974694396,0,"lag.data","ns",5,2,2,"522"
"5",0.0012945997292411,"0.000823834056450393",-0.000431564019355944,0.00280498045838011,0,"lag.data","ns",6,2,2,"622"
"6",0.00127973332704419,"0.000824533465464809",-0.000448013458095087,0.00279133000680179,0,"lag.data","ns",7,2,2,"722"
"7",0.00129061511726198,"0.000820479250401948",-0.000428587499533037,0.0027948649628706,0,"lag.data","ns",8,2,2,"822"
"8",0.00146872619788873,"0.000830128690531211",-0.000270992166796005,0.00299044648351403,0,"lag.data","ns",9,3,3,"933"
"9",0.00151377073823103,"0.000831089525578479",-0.000228148800889818,0.00303703367117573,0,"lag.data","ns",10,3,3,"1033"
"10",0.00104870440164981,"0.000798945356805012",-0.000628177921625834,0.0025105863834006,1,"lag.data","ns",2,1,1,"211"
"11",0.00251177533070313,"0.000738656456772944",0.000959856433645918,0.00386367040488745,1,"lag.data","ns",3,1,1,"311"
"12",0.00234997399548991,"0.000759413336412756",0.000756058649121452,0.00374116995948348,1,"lag.data","ns",4,1,1,"411"
"13",0.00184849667114477,"0.000760385721079164",0.000257436583923308,0.00324564728593126,1,"lag.data","ns",5,2,2,"522"
"14",0.001839745769257,"0.000758439757917976",0.000253584577397368,0.00323410116319013,1,"lag.data","ns",6,2,2,"622"
"15",0.00182178919197177,"0.000759387968350791",0.000233649981185245,0.00321816675664681,1,"lag.data","ns",7,2,2,"722"
"16",0.0018197244820614,"0.000756096012884322",0.000238781211354311,0.00321014886025772,1,"lag.data","ns",8,2,2,"822"
"17",0.00192519625292396,"0.000766202592618289",0.000322404251196376,0.0033336649250746,1,"lag.data","ns",9,3,3,"933"
"18",0.00195166313100299,"0.000766961070615608",0.000346957283702602,0.00336116630639867,1,"lag.data","ns",10,3,3,"1033"
"19",0.00138314728685622,"0.000749899104175031",-0.000191468377176979,0.00275525870779965,2,"lag.data","ns",2,1,1,"211"
"20",0.00282217923296196,"0.000692022417402612",0.00136845027478636,0.0040894704934947,2,"lag.data","ns",3,1,1,"311"
"21",0.00267013882223013,"0.000712964516572327",0.00117410112617782,0.00397724644827607,2,"lag.data","ns",4,1,1,"411"
"22",0.00216725758384045,"0.000718924151931446",0.000663050693432103,0.00348875647518561,2,"lag.data","ns",5,2,2,"522"
"23",0.00215159571042897,"0.000718695878949801",0.000648884073033951,0.00347372348814049,2,"lag.data","ns",6,2,2,"622"
"24",0.0021331401916297,"0.000720496891016861",0.000627005585576051,0.00345895963397728,2,"lag.data","ns",7,2,2,"722"
"25",0.00212337997164792,"0.000718010721180469",0.000622795529693099,0.00344498426467859,2,"lag.data","ns",8,2,2,"822"
"26",0.00215928136687404,"0.000726674530870578",0.000639753307822359,0.00349618635843964,2,"lag.data","ns",9,3,3,"933"
"27",0.00216660959678827,"0.000727633677191133",0.000644716089025402,0.00350489731141232,2,"lag.data","ns",10,3,3,"1033"
"28",0.00174133944367515,"0.000725064413343798",0.000219728443699389,0.00306888561323237,3,"lag.data","ns",2,1,1,"211"
"29",0.00321866640802323,"0.000667107299776147",0.00181822356893866,0.00444132198425514,3,"lag.data","ns",3,1,1,"311"
"30",0.00307156107353994,"0.000689361287693806",0.00162631518859874,0.0043366615326051,3,"lag.data","ns",4,1,1,"411"
"31",0.00258220482976528,"0.000697261948398326",0.00112374897324346,0.00386457971141033,3,"lag.data","ns",5,2,2,"522"
"32",0.00256287150169649,"0.00069893708190118",0.00110232447624994,0.00384961146026696,3,"lag.data","ns",6,2,2,"622"
"33",0.0025477497996775,"0.000701756055667245",0.00108193658168434,0.0038403315220643,3,"lag.data","ns",7,2,2,"722"
"34",0.00253162544614973,"0.000700409347943548",0.00106922025092225,0.00382232135111864,3,"lag.data","ns",8,2,2,"822"
"35",0.00255847205358285,"0.00070519164616534",0.00108439195378358,0.00385653656037847,3,"lag.data","ns",9,3,3,"933"
"36",0.00254438995409269,"0.000706748181579575",0.00106677162192117,0.00384500929106417,3,"lag.data","ns",10,3,3,"1033"
