"","coef","std","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax","df.combo"
"1",0.000547528102395841,"0.000467304848674822",-0.000396287766443217,0.00143609925365054,0,"lag.data","ns",2,1,1,"211"
"2",0.00264802253701171,"0.000413776928239977",0.00181186282508083,0.00343462980217138,0,"lag.data","ns",3,1,1,"311"
"3",0.00254947383390234,"0.000419648158537512",0.00170160044965758,0.00334737367930162,0,"lag.data","ns",4,1,1,"411"
"4",0.00227677251034993,"0.000416564852934977",0.00143563390301278,0.00306929905983537,0,"lag.data","ns",5,2,2,"522"
"5",0.00232889192240406,"0.000413895047738753",0.00149308667454808,0.00311630007487859,0,"lag.data","ns",6,2,2,"622"
"6",0.0023250579474494,"0.000414351729111958",0.00148823201146725,0.00311324283407519,0,"lag.data","ns",7,2,2,"722"
"7",0.00241362638866267,"0.000412514514835288",0.00158048954465185,0.00319830657449981,0,"lag.data","ns",8,2,2,"822"
"8",0.00255701806559742,"0.000415800888479555",0.00171753004921294,0.00334819754654753,0,"lag.data","ns",9,3,3,"933"
"9",0.00270772290641502,"0.000416974120767398",0.00186585524498186,0.00350113939632079,0,"lag.data","ns",10,3,3,"1033"
"10",0.00147561523525062,"0.000423624274909074",0.000619945028620839,0.00228121337166439,1,"lag.data","ns",2,1,1,"211"
"11",0.00356349041662842,"0.000373898077439163",0.00280835873721444,0.0042748355633018,1,"lag.data","ns",3,1,1,"311"
"12",0.00350460205084192,"0.000379955265290881",0.002737385684522,0.00422761131508385,1,"lag.data","ns",4,1,1,"411"
"13",0.00309523056370951,"0.000381864814454186",0.00232462087128608,0.00382229496809218,1,"lag.data","ns",5,2,2,"522"
"14",0.00312972169285826,"0.000379404567490279",0.00236412167187275,0.00385215593851195,1,"lag.data","ns",6,2,2,"622"
"15",0.00311293700971283,"0.000379693153887463",0.00234667970383186,0.00383584974955541,1,"lag.data","ns",7,2,2,"722"
"16",0.00317387233319272,"0.000377983588838849",0.00241105638923242,0.00389352666430529,1,"lag.data","ns",8,2,2,"822"
"17",0.00328786642193813,"0.00038038202720466",0.00252039220068627,0.00401223915854201,1,"lag.data","ns",9,3,3,"933"
"18",0.00341324605643575,"0.00038141901446504",0.00264367540902022,0.00413960006986183,1,"lag.data","ns",10,3,3,"1033"
"19",0.0012573975878468,"0.000439377418860722",0.000369497524602183,0.00209249208719538,2,"lag.data","ns",2,1,1,"211"
"20",0.00354885862592507,"0.000384352668735972",0.00277189053370999,0.0042793713431756,2,"lag.data","ns",3,1,1,"311"
"21",0.0034826347200672,"0.00039139244776045",0.00269164727657554,0.00422672817664421,2,"lag.data","ns",4,1,1,"411"
"22",0.00296918768444795,"0.00039752093290256",0.00216637199779168,0.00372542949554169,2,"lag.data","ns",5,2,2,"522"
"23",0.00299838812115031,"0.000395158979691617",0.0022004533635976,0.00375025377130389,2,"lag.data","ns",6,2,2,"622"
"24",0.00296529772711136,"0.000395806054887604",0.00216600730316854,0.00371834776942348,2,"lag.data","ns",7,2,2,"722"
"25",0.00300885123368802,"0.000394130846349137",0.00221293285201137,0.00375870730206375,2,"lag.data","ns",8,2,2,"822"
"26",0.00306418687851451,"0.000395728341352108",0.0022652065205043,0.00381721939876208,2,"lag.data","ns",9,3,3,"933"
"27",0.00315408669020518,"0.00039679904584694",0.00235288135494358,0.00390910169181102,2,"lag.data","ns",10,3,3,"1033"
"28",0.00130926008244542,"0.000447189976946161",0.00040570291894522,0.00215930923832771,3,"lag.data","ns",2,1,1,"211"
"29",0.00377384614215058,"0.00038985316112529",0.00298575961744867,0.00451481369782758,3,"lag.data","ns",3,1,1,"311"
"30",0.00370152485681407,"0.00039777846667458",0.00289770616165975,0.00445783142090028,3,"lag.data","ns",4,1,1,"411"
"31",0.00311213292159084,"0.000406773806813864",0.00229080864022072,0.00388614492510224,3,"lag.data","ns",5,2,2,"522"
"32",0.00313306115880824,"0.000404867393878171",0.00231576979431268,0.00390363332222672,3,"lag.data","ns",6,2,2,"622"
"33",0.00308871282335394,"0.000405853317285339",0.00226942700631382,0.00386115769438834,3,"lag.data","ns",7,2,2,"722"
"34",0.00311230718490949,"0.000404566920704529",0.00229562520966973,0.0038823135964281,3,"lag.data","ns",8,2,2,"822"
"35",0.00312859209627739,"0.000406100317249182",0.00230908001462115,0.00390175980313885,3,"lag.data","ns",9,3,3,"933"
"36",0.00317347142127963,"0.000407582886722566",0.00235085112140329,0.00394935107948463,3,"lag.data","ns",10,3,3,"1033"
