"","coef","std","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax","df.combo"
"1",0.000800178252729827,"0.00086591446692991",-0.00102122695393286,0.00238036711658779,0,"lag.data","ns",2,1,1,"211"
"2",0.00219010259200169,"0.000808387878044705",0.000486680498935484,0.0036644835750114,0,"lag.data","ns",3,1,1,"311"
"3",0.00185215738090953,"0.000833217641270255",9.90558967008009e-05,0.00337375933014713,0,"lag.data","ns",4,1,1,"411"
"4",0.00147705917630468,"0.000817811608407578",-0.000238422144048184,0.0029751749489496,0,"lag.data","ns",5,2,2,"522"
"5",0.00149575647971739,"0.000813294274631085",-0.000210382041173936,0.00298569581657581,0,"lag.data","ns",6,2,2,"622"
"6",0.00149566940017001,"0.000812772378214532",-0.000209903197043802,0.00298420813818567,0,"lag.data","ns",7,2,2,"722"
"7",0.00156864992631313,"0.000807653214438432",-0.000126575505615679,0.00304756766622022,0,"lag.data","ns",8,2,2,"822"
"8",0.00185294081407475,"0.000819969769053142",0.000131665724531785,0.00335428359265709,0,"lag.data","ns",9,3,3,"933"
"9",0.00195301806841416,"0.00082232741701724",0.000226994095157107,0.00345899048722084,0,"lag.data","ns",10,3,3,"1033"
"10",0.00135665242738184,"0.000787930646763835",-0.000299227910445,0.00279713195466295,1,"lag.data","ns",2,1,1,"211"
"11",0.00273993852054161,"0.000736183735736684",0.00119206906724972,0.00408679085624833,1,"lag.data","ns",3,1,1,"311"
"12",0.00242104372135506,"0.000761466651112884",0.000822501567472542,0.00381607963580269,1,"lag.data","ns",4,1,1,"411"
"13",0.00195560904622066,"0.00075559297482816",0.000374038467912134,0.00334398772469454,1,"lag.data","ns",5,2,2,"522"
"14",0.00195690813180791,"0.000752587133023683",0.000382046114326396,0.00334012636235687,1,"lag.data","ns",6,2,2,"622"
"15",0.00194225589299234,"0.00075217765939077",0.000367928116124108,0.00332445039205526,1,"lag.data","ns",7,2,2,"722"
"16",0.00198933099613793,"0.00074724609943465",0.00042498730717144,0.00336217211930167,1,"lag.data","ns",8,2,2,"822"
"17",0.00219466981377396,"0.000759344615579441",0.000603989772728778,0.00358902186836216,1,"lag.data","ns",9,3,3,"933"
"18",0.00228449801738487,"0.000760955601931348",0.000690531341821214,0.00368201556557214,1,"lag.data","ns",10,3,3,"1033"
"19",0.00127524788667826,"0.000782434623387105",-0.000371471571806683,0.00270358546098075,2,"lag.data","ns",2,1,1,"211"
"20",0.00268535117684288,"0.000729518489984232",0.00114908543514708,0.00401800600881188,2,"lag.data","ns",3,1,1,"311"
"21",0.00234784109070057,"0.000757108488160443",0.000756331774696818,0.00373315047534706,2,"lag.data","ns",4,1,1,"411"
"22",0.00183448628116967,"0.000757351751233548",0.000247162203504509,0.0032241577684938,2,"lag.data","ns",5,2,2,"522"
"23",0.00182543018794543,"0.0007556111169492",0.000242395983116977,0.00321263077046865,2,"lag.data","ns",6,2,2,"622"
"24",0.00179823168747153,"0.000756114021441723",0.000214048598863456,0.00318629415053873,2,"lag.data","ns",7,2,2,"722"
"25",0.0018244833507183,"0.000751523626609891",0.000249642057391908,0.00320389059077477,2,"lag.data","ns",8,2,2,"822"
"26",0.00193524845418498,"0.000763137027319797",0.000334469114842911,0.00333456883879887,2,"lag.data","ns",9,3,3,"933"
"27",0.00200880261116986,"0.000764213810680278",0.000405654028700696,0.00341002357737791,2,"lag.data","ns",10,3,3,"1033"
"28",0.00137270280877534,"0.000783499183157993",-0.000276729269669696,0.00280245363050038,3,"lag.data","ns",2,1,1,"211"
"29",0.00285139856156027,"0.00072813042884992",0.00131710688963323,0.00418062661096926,3,"lag.data","ns",3,1,1,"311"
"30",0.00249166493448831,"0.000759041689190716",0.000895588745228256,0.00387996910218541,3,"lag.data","ns",4,1,1,"411"
"31",0.00194575568635047,"0.000763546300711081",0.000344614728732558,0.00334583801276886,3,"lag.data","ns",5,2,2,"522"
"32",0.00192536911428371,"0.000763564239529637",0.000325289899465615,0.00332663880872507,3,"lag.data","ns",6,2,2,"622"
"33",0.00188790003027285,"0.000765276907243211",0.000284487993894585,0.00329258662986415,3,"lag.data","ns",7,2,2,"722"
"34",0.00189004763453248,"0.000761390910242306",0.000294715317754291,0.00328759373204293,3,"lag.data","ns",8,2,2,"822"
"35",0.00198333902340366,"0.000768942816563188",0.000369195313933624,0.00339194394203012,3,"lag.data","ns",9,3,3,"933"
"36",0.00203735583316703,"0.000769488048550103",0.000421656763734775,0.00344658495090334,3,"lag.data","ns",10,3,3,"1033"
