state_code,county_code,FIPS,Location
01,000,01000,Alabama
01,001,01001,Autauga County
01,003,01003,Baldwin County
01,005,01005,Barbour County
01,007,01007,Bibb County
01,009,01009,Blount County
01,011,01011,Bullock County
01,013,01013,Butler County
01,015,01015,Calhoun County
01,017,01017,Chambers County
01,019,01019,Cherokee County
01,021,01021,Chilton County
01,023,01023,Choctaw County
01,025,01025,Clarke County
01,027,01027,Clay County
01,029,01029,Cleburne County
01,031,01031,Coffee County
01,033,01033,Colbert County
01,035,01035,Conecuh County
01,037,01037,Coosa County
01,039,01039,Covington County
01,041,01041,Crenshaw County
01,043,01043,Cullman County
01,045,01045,Dale County
01,047,01047,Dallas County
01,049,01049,DeKalb County
01,051,01051,Elmore County
01,053,01053,Escambia County
01,055,01055,Etowah County
01,057,01057,Fayette County
01,059,01059,Franklin County
01,061,01061,Geneva County
01,063,01063,Greene County
01,065,01065,Hale County
01,067,01067,Henry County
01,069,01069,Houston County
01,071,01071,Jackson County
01,073,01073,Jefferson County
01,075,01075,Lamar County
01,077,01077,Lauderdale County
01,079,01079,Lawrence County
01,081,01081,Lee County
01,083,01083,Limestone County
01,085,01085,Lowndes County
01,087,01087,Macon County
01,089,01089,Madison County
01,091,01091,Marengo County
01,093,01093,Marion County
01,095,01095,Marshall County
01,097,01097,Mobile County
01,099,01099,Monroe County
01,101,01101,Montgomery County
01,103,01103,Morgan County
01,105,01105,Perry County
01,107,01107,Pickens County
01,109,01109,Pike County
01,111,01111,Randolph County
01,113,01113,Russell County
01,115,01115,St. Clair County
01,117,01117,Shelby County
01,119,01119,Sumter County
01,121,01121,Talladega County
01,123,01123,Tallapoosa County
01,125,01125,Tuscaloosa County
01,127,01127,Walker County
01,129,01129,Washington County
01,131,01131,Wilcox County
01,133,01133,Winston County
01,000,01000,Abbeville city
01,000,01000,Adamsville city
01,000,01000,Addison town
01,000,01000,Akron town
01,000,01000,Alabaster city
01,000,01000,Albertville city
01,000,01000,Alexander City city
01,000,01000,Aliceville city
01,000,01000,Allgood town
01,000,01000,Altoona town
01,000,01000,Andalusia city
01,000,01000,Anderson town
01,000,01000,Anniston city
01,000,01000,Arab city
01,000,01000,Ardmore town
01,000,01000,Argo town
01,000,01000,Ariton town
01,000,01000,Arley town
01,000,01000,Ashford town
01,000,01000,Ashland town
01,000,01000,Ashville city
01,000,01000,Athens city
01,000,01000,Atmore city
01,000,01000,Attalla city
01,000,01000,Auburn city
01,000,01000,Autaugaville town
01,000,01000,Avon town
01,000,01000,Babbie town
01,000,01000,Baileyton town
01,000,01000,Bakerhill town
01,000,01000,Banks town
01,000,01000,Bay Minette city
