"","date","ZIPS"
"1",2020-04-04,6025
"2",2020-04-05,6025
"3",2020-04-06,6025
"4",2020-04-07,6025
"5",2020-04-08,6025
"6",2020-04-09,6025
"7",2020-04-10,6025
"8",2020-04-11,6025
"9",2020-04-12,6025
"10",2020-04-23,6103
"11",2020-04-24,6103
"12",2020-04-27,6013
"13",2020-05-03,6019
"14",2020-05-07,6083
"15",2020-05-08,6083
"16",2020-05-09,6083
"17",2020-05-08,6007
"18",2020-05-18,6065
"19",2020-05-22,6055
"20",2020-05-23,6055
"21",2020-05-27,6079
"22",2020-05-28,6079
"23",2020-05-28,6065
"24",2020-06-02,6035
"25",2020-06-02,6065
"26",2020-06-03,6065
"27",2020-06-04,6065
"28",2020-06-05,6065
"29",2020-06-06,6065
"30",2020-06-07,6065
"31",2020-06-03,6095
"32",2020-06-04,6095
"33",2020-06-04,6089
"34",2020-06-04,6085
"35",2020-06-05,6085
"36",2020-06-06,6085
"37",2020-06-07,6085
"38",2020-06-05,6061
"39",2020-06-05,6097
"40",2020-06-06,6097
"41",2020-06-05,6095
"42",2020-06-06,6097
"43",2020-06-07,6097
"44",2020-06-08,6097
"45",2020-06-06,6095
"46",2020-06-07,6095
"47",2020-06-08,6095
"48",2020-06-09,6095
"49",2020-06-10,6095
"50",2020-06-06,6013
"51",2020-06-07,6013
"52",2020-06-07,6043
"53",2020-06-08,6043
"54",2020-06-09,6043
"55",2020-06-10,6043
"56",2020-06-08,6099
"57",2020-06-08,6065
"58",2020-06-09,6065
"59",2020-06-08,6053
"60",2020-06-09,6053
"61",2020-06-08,6065
"62",2020-06-09,6065
"63",2020-06-08,6065
"64",2020-06-09,6045
"65",2020-06-10,6045
"66",2020-06-09,6073
"67",2020-06-10,6073
"68",2020-06-11,6073
"69",2020-06-12,6073
"70",2020-06-10,6111
"71",2020-06-11,6111
"72",2020-06-12,6111
"73",2020-06-10,6079
"74",2020-06-11,6079
"75",2020-06-10,6111
"76",2020-06-11,6111
"77",2020-06-12,6111
"78",2020-06-13,6111
"79",2020-06-14,6111
"80",2020-06-15,6111
"81",2020-06-16,6111
"82",2020-06-17,6111
"83",2020-06-11,6073
"84",2020-06-12,6073
"85",2020-06-13,6073
"86",2020-06-14,6073
"87",2020-06-11,6073
"88",2020-06-12,6073
"89",2020-06-13,6073
"90",2020-06-11,6061
"91",2020-06-12,6067
"92",2020-06-13,6067
"93",2020-06-14,6067
"94",2020-06-15,6067
"95",2020-06-16,6067
"96",2020-06-17,6067
"97",2020-06-12,6019
"98",2020-06-13,6019
"99",2020-06-14,6019
"100",2020-06-15,6019
"101",2020-06-16,6019
"102",2020-06-17,6019
"103",2020-06-18,6019
"104",2020-06-19,6019
"105",2020-06-20,6019
"106",2020-06-21,6019
"107",2020-06-22,6019
"108",2020-06-23,6019
"109",2020-06-24,6019
"110",2020-06-25,6019
"111",2020-06-26,6019
"112",2020-06-27,6019
"113",2020-06-28,6019
"114",2020-06-29,6019
"115",2020-06-30,6019
"116",2020-07-01,6019
"117",2020-07-02,6019
"118",2020-07-03,6019
"119",2020-07-04,6019
"120",2020-07-05,6019
"121",2020-07-06,6019
"122",2020-07-07,6019
"123",2020-07-08,6019
"124",2020-06-13,6043
"125",2020-06-14,6043
"126",2020-06-15,6043
"127",2020-06-16,6043
"128",2020-06-13,6065
"129",2020-06-13,54041
"130",2020-06-14,54041
"131",2020-06-15,6079
"132",2020-06-16,6079
"133",2020-06-17,6079
"134",2020-06-18,6079
"135",2020-06-19,6079
"136",2020-06-16,6053
"137",2020-06-17,6053
"138",2020-06-18,6053
"139",2020-06-19,6053
"140",2020-06-20,6053
"141",2020-06-21,6053
"142",2020-06-16,6079
"143",2020-06-17,6079
"144",2020-06-16,6009
"145",2020-06-17,6009
"146",2020-06-18,6009
"147",2020-06-19,6009
"148",2020-06-20,6009
"149",2020-06-17,6007
"150",2020-06-17,6077
"151",2020-06-18,6077
"152",2020-06-17,6053
"153",2020-06-18,6053
"154",2020-06-19,6053
"155",2020-06-20,6053
"156",2020-06-21,6053
"157",2020-06-22,6053
"158",2020-06-17,6029
"159",2020-06-18,6029
"160",2020-06-18,6061
"161",2020-06-18,6107
"162",2020-06-19,6107
"163",2020-06-20,6107
"164",2020-06-21,6107
"165",2020-06-22,6107
"166",2020-06-18,6007
"167",2020-06-19,6107
"168",2020-06-20,6107
"169",2020-06-21,6107
"170",2020-06-22,6107
"171",2020-06-20,6007
"172",2020-06-21,6109
"173",2020-06-22,6109
"174",2020-06-23,6109
"175",2020-06-24,6109
"176",2020-06-25,6109
"177",2020-06-26,6109
"178",2020-06-27,6109
"179",2020-06-28,6109
"180",2020-06-29,6109
"181",2020-06-30,6109
"182",2020-07-01,6109
"183",2020-07-02,6109
"184",2020-07-03,6109
"185",2020-07-04,6109
"186",2020-07-05,6109
"187",2020-07-06,6109
"188",2020-07-07,6109
"189",2020-06-21,6053
"190",2020-06-22,6053
"191",2020-06-23,6053
"192",2020-06-24,6053
"193",2020-06-25,6053
"194",2020-06-21,6053
"195",2020-06-22,6053
"196",2020-06-22,6107
"197",2020-06-23,6107
"198",2020-06-24,6107
"199",2020-06-25,6107
