"FIPS","date","cases","cumu_cases","deaths","cumu_deaths","population","pm25","Long","Lat","pr","tmmx","srad","sph","rmax","dayofweek","date_str","date_num","fireday"
"06000","2020-03-15",0,21,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sunday",2020-03-15,0,0
"06001","2020-03-15",8,15,0,0,1671329,2.71346153846154,-122.117610333333,37.7674999990863,15.87692308,283.6023077,146.2346154,0.005240538,88.82615385,"Sunday",2020-03-15,0,0
"06003","2020-03-15",0,0,0,0,1129,NA,NA,NA,40.43362832,272.2867257,142.4699115,0.003033186,82.48849558,"Sunday",2020-03-15,0,0
"06005","2020-03-15",0,0,0,0,39752,NA,NA,NA,59.91595745,280.3659574,104.7117021,0.005481809,98.21170213,"Sunday",2020-03-15,0,0
"06007","2020-03-15",0,0,0,0,219186,1.93076923076923,-121.70021,39.6228099990731,16.89810606,280.9560606,128.3382576,0.004669621,88.06628788,"Sunday",2020-03-15,0,0
"06009","2020-03-15",0,2,0,0,45905,2.35769230769231,-120.680277,38.2018499990829,59.41962025,280.6531646,111.3746835,0.005580886,98.23607595,"Sunday",2020-03-15,0,0
"06011","2020-03-15",0,0,0,0,21547,-0.1,-121.99887,39.1891899990758,3.495555556,285.3944444,154.9022222,0.004663722,84.11111111,"Sunday",2020-03-15,0,0
"06013","2020-03-15",0,29,0,0,1153526,4.84038461538461,-122.19105,37.9493499990848,13.32,284.7808333,160.4241667,0.005279167,85.7725,"Sunday",2020-03-15,0,0
"06015","2020-03-15",0,0,0,0,27812,4.8,-124.20347,41.7561299990626,2.746276596,280.343617,147.2132979,0.003450319,93.57765957,"Sunday",2020-03-15,0,0
"06017","2020-03-15",0,0,0,0,192843,NA,NA,NA,58.01571429,276.9096429,105.4528571,0.004565929,97.33714286,"Sunday",2020-03-15,0,0
"06019","2020-03-15",0,2,0,0,999101,1.2,-120.084836666667,36.5390599990972,12.85948661,283.8063616,144.093192,0.005057433,80.94196429,"Sunday",2020-03-15,0,0
"06021","2020-03-15",0,0,0,0,28393,1.5,-122.190834,39.5338699990736,2.135885167,284.3119617,153.2535885,0.004460335,84.96124402,"Sunday",2020-03-15,0,0
"06023","2020-03-15",0,1,0,0,135558,NA,NA,NA,5.58928,280.00272,132.99008,0.0038332,94.30096,"Sunday",2020-03-15,0,0
"06025","2020-03-15",0,0,0,0,181215,4.70769230769231,-115.48307,32.6761799991421,0,296.7381395,252.7790698,0.008169674,92.64325581,"Sunday",2020-03-15,0,0
"06027","2020-03-15",0,0,0,0,18039,3.70576923076923,-118.1009175,36.9242504990937,0.427201566,286.8060665,230.4857795,0.004757782,82.53705153,"Sunday",2020-03-15,0,0
"06029","2020-03-15",0,0,0,0,900202,2.06538461538462,-118.691697666667,35.0828883324456,0.675516956,288.2879239,203.1259719,0.005221687,83.24036394,"Sunday",2020-03-15,0,0
"06031","2020-03-15",0,0,0,0,152940,NA,NA,NA,4.216019417,290.8106796,146.1703883,0.006177379,81.33058252,"Sunday",2020-03-15,0,0
"06033","2020-03-15",0,0,0,0,64386,NA,NA,NA,4.901970443,279.9054187,143.2330049,0.004081478,94.52610837,"Sunday",2020-03-15,0,0
"06035","2020-03-15",0,0,0,0,30573,NA,NA,NA,14.82587601,274.7328841,123.2032345,0.003257615,95.91657682,"Sunday",2020-03-15,0,0
"06037","2020-03-15",16,69,0,1,10039107,4.61538461538462,-118.258279714286,34.2052308562653,0.862426901,286.5953216,193.3527778,0.006152968,89.78260234,"Sunday",2020-03-15,0,0
"06039","2020-03-15",0,1,0,0,157327,2.43076923076923,-120.0341,36.9532999990933,17.21829268,282.8984756,131.2042683,0.00534686,82.03658537,"Sunday",2020-03-15,0,0
"06041","2020-03-15",4,4,0,0,258826,3.50769230769231,-122.5189,37.9721999990846,4.670491803,285.3868852,154.3409836,0.004958197,82.43606557,"Sunday",2020-03-15,0,0
"06043","2020-03-15",0,0,0,0,17203,2.05769230769231,-119.587094,37.7487069990865,27.44324324,279.7004505,117.2531532,0.004694324,79.63738739,"Sunday",2020-03-15,0,0
"06045","2020-03-15",0,0,0,0,86749,4.41730769230769,-123.2795945,39.2811104990752,4.165824916,280.3282828,138.2511785,0.004175875,98.09713805,"Sunday",2020-03-15,0,0
"06047","2020-03-15",0,0,0,0,277680,4.65769230769231,-120.433601,37.2816999990904,18.28344371,286.8344371,137.097351,0.006507086,92.24536424,"Sunday",2020-03-15,0,0
"06049","2020-03-15",0,0,0,0,8841,NA,NA,NA,7.040571429,275.4038571,117.7565714,0.003253671,98.43457143,"Sunday",2020-03-15,0,0
"06051","2020-03-15",0,0,0,0,14444,3.87692307692308,-118.966515,37.6457179990873,5.579749478,277.1475992,199.863048,0.002733006,73.5611691,"Sunday",2020-03-15,0,0
"06053","2020-03-15",0,0,0,0,434061,1.33076923076923,-121.494324,36.4618056657646,27.49217877,284.703352,158.2763501,0.005453128,80.98156425,"Sunday",2020-03-15,0,0
"06055","2020-03-15",0,0,0,0,137744,4.34615384615385,-122.275024,38.2788489990823,5.850819672,284.2819672,136.4106557,0.004822541,87.90655738,"Sunday",2020-03-15,0,0
"06057","2020-03-15",0,0,0,0,99755,3.33076923076923,-120.612953,39.2865009990752,44.69817073,275.7719512,133.3219512,0.004177073,97.225,"Sunday",2020-03-15,0,0
"06059","2020-03-15",3,17,0,0,3175692,3.34038461538462,-117.807192,33.7302884991282,0.643262411,290.2283688,164.7794326,0.007124468,83.95106383,"Sunday",2020-03-15,0,0
"06061","2020-03-15",0,8,0,1,398329,2.31923076923077,-120.916645,38.9756824990772,43.31294643,277.2866071,124.1625,0.00457317,96.08660714,"Sunday",2020-03-15,0,0
"06063","2020-03-15",0,0,0,0,18807,9.09230769230769,-120.884821666667,40.0157109990708,29.94745763,273.948184,133.0697337,0.003515763,97.9779661,"Sunday",2020-03-15,0,0
"06065","2020-03-15",6,14,0,0,2470546,4.11923076923077,-116.799396,33.7939604991275,0.066728111,291.5094009,235.9580645,0.00699129,94.89861751,"Sunday",2020-03-15,0,0
"06067","2020-03-15",3,32,0,1,1552058,1.29807692307693,-121.3732715,38.4948274990806,19.01103896,285.511039,152.8519481,0.006013247,93.95844156,"Sunday",2020-03-15,0,0
"06069","2020-03-15",0,3,0,0,62808,2.05,-121.3621,36.8434249990943,21.78421053,283.5698565,157.376555,0.005117177,77.27416268,"Sunday",2020-03-15,0,0
"06071","2020-03-15",1,1,0,0,2180085,3.25769230769231,-117.408973666667,34.2859156657881,0.003844845,290.0375978,239.4835999,0.006259728,91.65440626,"Sunday",2020-03-15,0,0
"06073","2020-03-15",31,39,0,0,3338330,5.85192307692308,-116.94617475,32.7303489991413,0.040561622,287.9201248,205.3678627,0.007317348,97.55943838,"Sunday",2020-03-15,0,0
"06075","2020-03-15",9,37,0,0,881549,3.07692307692308,-122.3978,37.7657999990863,4.242105263,285.9052632,159.7315789,0.005220526,77.00526316,"Sunday",2020-03-15,0,0
"06077","2020-03-15",0,8,0,0,762148,2.06538461538462,-121.354785,37.8166249990859,15.45437788,286.7465438,151.7069124,0.006082627,95.15391705,"Sunday",2020-03-15,0,0
"06079","2020-03-15",0,0,0,0,283111,4.63653846153847,-120.62179075,35.2046539991109,22.90895522,285.8714552,163.4401119,0.005832854,77.09981343,"Sunday",2020-03-15,0,0
"06081","2020-03-15",0,32,1,1,766573,1.95384615384615,-122.2022,37.4827999990887,12.10285714,284.9304762,140.3619048,0.005190381,84.04095238,"Sunday",2020-03-15,0,0
"06083","2020-03-15",1,1,0,0,446499,2.66153846153846,-120.10275525,34.6134302491176,16.03460076,286.7243346,179.2960076,0.005864087,82.32889734,"Sunday",2020-03-15,0,0
"06085","2020-03-15",32,255,1,5,1927852,3.28076923076923,-121.773092,37.2286909990909,26.68181818,283.080303,134.4489899,0.005195,91.79848485,"Sunday",2020-03-15,0,0
"06087","2020-03-15",0,7,0,0,273213,2.26923076923077,-121.942688333333,36.9848243324263,23.41860465,284.6174419,133.4488372,0.005459651,88.94767442,"Sunday",2020-03-15,0,0
"06089","2020-03-15",0,1,0,0,180080,3.61153846153847,-122.3385,40.5013999990681,18.81694352,277.7687708,138.6845515,0.003547824,91.11644518,"Sunday",2020-03-15,0,0
"06091","2020-03-15",0,0,0,0,3005,NA,NA,NA,44.10993377,274.2715232,135.7556291,0.003627881,95.76622517,"Sunday",2020-03-15,0,0
"06093","2020-03-15",0,0,0,0,43539,NA,NA,NA,7.313339825,276.1028238,167.1408958,0.002998783,94.43631938,"Sunday",2020-03-15,0,0
"06095","2020-03-15",1,7,0,0,447643,2.42307692307692,-121.968438666667,38.2144656657494,9.986524823,286.1524823,167.7730496,0.005308298,83.79078014,"Sunday",2020-03-15,0,0
"06097","2020-03-15",2,5,0,0,494336,2.38076923076923,-122.818294,38.4037649990813,3.666914498,284.3855019,157.9364312,0.004744126,91.12193309,"Sunday",2020-03-15,0,0
"06099","2020-03-15",0,2,0,0,550660,2.33461538461538,-120.915006,37.565232499088,23.33362832,285.8743363,135.8376106,0.006061814,96.50619469,"Sunday",2020-03-15,0,0
"06101","2020-03-15",0,0,0,0,96971,1.65,-121.61884,39.1386799990761,9.493478261,285.7619565,154.9347826,0.00561913,87.76630435,"Sunday",2020-03-15,0,0
"06103","2020-03-15",0,0,0,0,65084,2.36538461538462,-122.255667,40.1709169990699,9.192077088,280.5543897,159.935546,0.004037773,85.39164882,"Sunday",2020-03-15,0,0
"06105","2020-03-15",0,0,0,0,12285,6.34615384615385,-122.941109,40.734721999067,9.050389105,276.5398833,136.6038911,0.003172062,93.32626459,"Sunday",2020-03-15,0,0
"06107","2020-03-15",0,2,0,0,466195,2.92307692307692,-119.057615666667,36.284606332433,2.020798898,283.607989,182.8732782,0.004875124,84.56460055,"Sunday",2020-03-15,0,0
"06109","2020-03-15",0,0,0,0,54478,NA,NA,NA,47.06389685,276.0452722,127.139255,0.004067307,87.13438395,"Sunday",2020-03-15,0,0
