"date","fips","relative_change_feb","ratio_travelers"
"2020-03-01","06001",-0.03427,0.1718
"2020-03-02","06001",0.00809,0.1171
"2020-03-03","06001",0.0279,0.10671
"2020-03-04","06001",0.00709,0.11393
"2020-03-05","06001",-0.01875,0.1161
"2020-03-06","06001",-0.03086,0.11431
"2020-03-07","06001",-0.07689,0.16528
"2020-03-08","06001",-0.08756,0.18628
"2020-03-09","06001",-0.05351,0.12959
"2020-03-10","06001",-0.06182,0.12786
"2020-03-11","06001",-0.06227,0.1269
"2020-03-12","06001",-0.09436,0.12894
"2020-03-13","06001",-0.10649,0.13216
"2020-03-14","06001",-0.21812,0.21593
"2020-03-15","06001",-0.2631,0.25689
"2020-03-16","06001",-0.18286,0.18265
"2020-03-17","06001",-0.36895,0.27355
"2020-03-18","06001",-0.4022,0.2985
"2020-03-19","06001",-0.41265,0.28847
"2020-03-20","06001",-0.41086,0.2859
"2020-03-21","06001",-0.44875,0.33901
"2020-03-22","06001",-0.47825,0.37699
"2020-03-23","06001",-0.4584,0.33622
"2020-03-24","06001",-0.47871,0.34419
"2020-03-25","06001",-0.45398,0.32588
"2020-03-26","06001",-0.46289,0.32456
"2020-03-27","06001",-0.45577,0.31666
"2020-03-28","06001",-0.49881,0.37444
"2020-03-29","06001",-0.49595,0.38886
"2020-03-30","06001",-0.44349,0.32176
"2020-03-31","06001",-0.43668,0.31469
"2020-04-01","06001",-0.42794,0.31261
"2020-04-02","06001",-0.44341,0.31326
"2020-04-03","06001",-0.43572,0.30471
"2020-04-04","06001",-0.49082,0.38011
"2020-04-05","06001",-0.55855,0.45246
"2020-04-06","06001",-0.49464,0.36247
"2020-04-07","06001",-0.45372,0.32441
"2020-04-08","06001",-0.46064,0.3313
"2020-04-09","06001",-0.472,0.33166
"2020-04-10","06001",-0.45743,0.31179
"2020-04-11","06001",-0.45688,0.35415
"2020-04-12","06001",-0.49444,0.39115
"2020-04-13","06001",-0.4431,0.31525
"2020-04-14","06001",-0.43316,0.31284
"2020-04-15","06001",-0.41608,0.30671
"2020-04-16","06001",-0.43634,0.31398
"2020-04-17","06001",-0.43331,0.30466
"2020-04-18","06001",-0.42223,0.32894
"2020-04-19","06001",-0.43694,0.36907
"2020-04-20","06001",-0.43017,0.3158
"2020-04-21","06001",-0.42332,0.31032
"2020-04-22","06001",-0.41337,0.30225
"2020-04-23","06001",-0.42203,0.3058
"2020-04-24","06001",-0.41069,0.2922
"2020-04-25","06001",-0.38953,0.31653
"2020-04-26","06001",-0.40718,0.35243
"2020-04-27","06001",-0.39296,0.29723
"2020-04-28","06001",-0.3868,0.29567
"2020-04-29","06001",-0.38949,0.29724
"2020-04-30","06001",-0.39058,0.28753
"2020-05-01","06001",-0.36811,0.26864
"2020-05-02","06001",-0.35395,0.30215
"2020-05-03","06001",-0.35703,0.3293
"2020-05-04","06001",-0.35026,0.27467
"2020-05-05","06001",-0.35265,0.27548
"2020-05-06","06001",-0.35251,0.27449
"2020-05-07","06001",-0.3591,0.27683
"2020-05-08","06001",-0.34314,0.26231
"2020-05-09","06001",-0.28949,0.27526
"2020-05-10","06001",-0.30856,0.29687
"2020-05-11","06001",-0.36119,0.28556
"2020-05-12","06001",-0.36724,0.28669
"2020-05-13","06001",-0.33709,0.27511
"2020-05-14","06001",-0.35208,0.27148
"2020-05-15","06001",-0.32228,0.24962
"2020-05-16","06001",-0.27531,0.26798
"2020-05-17","06001",-0.33871,0.3274
"2020-05-18","06001",-0.33312,0.27097
"2020-05-19","06001",-0.31772,0.26706
"2020-05-20","06001",-0.30828,0.26061
"2020-05-21","06001",-0.31206,0.25203
"2020-05-22","06001",-0.28615,0.23645
"2020-05-23","06001",-0.24068,0.25758
"2020-05-24","06001",-0.23251,0.28292
"2020-05-25","06001",-0.37506,0.29424
"2020-05-26","06001",-0.28607,0.25128
"2020-05-27","06001",-0.28163,0.25127
"2020-05-28","06001",-0.30229,0.24489
"2020-05-29","06001",-0.2821,0.23587
"2020-05-30","06001",-0.27974,0.27167
"2020-05-31","06001",-0.27106,0.29997
"2020-06-01","06001",-0.27647,0.25274
"2020-06-02","06001",-0.31682,0.26514
"2020-06-03","06001",-0.30318,0.25248
"2020-06-04","06001",-0.30821,0.25011
"2020-06-05","06001",-0.27886,0.23217
"2020-06-06","06001",-0.23916,0.25121
"2020-06-07","06001",-0.24348,0.28512
"2020-06-08","06001",-0.2651,0.23844
"2020-06-09","06001",-0.26442,0.23631
"2020-06-10","06001",-0.25699,0.23484
"2020-06-11","06001",-0.27297,0.2311
"2020-06-12","06001",-0.25089,0.22133
"2020-06-13","06001",-0.19399,0.23569
"2020-06-14","06001",-0.19916,0.26722
"2020-06-15","06001",-0.25821,0.23327
"2020-06-16","06001",-0.24975,0.22907
"2020-06-17","06001",-0.24119,0.22605
"2020-06-18","06001",-0.24517,0.22432
"2020-06-19","06001",-0.21065,0.20727
"2020-06-20","06001",-0.1539,0.22267
"2020-06-21","06001",-0.17548,0.25087
"2020-06-22","06001",-0.23833,0.22485
"2020-06-23","06001",-0.23999,0.22859
"2020-06-24","06001",-0.24086,0.22392
"2020-06-25","06001",-0.24871,0.22277
"2020-06-26","06001",-0.22946,0.21155
"2020-06-27","06001",-0.1738,0.22985
"2020-06-28","06001",-0.18715,0.26323
"2020-06-29","06001",-0.23465,0.22687
"2020-06-30","06001",-0.23142,0.22221
"2020-07-01","06001",-0.19848,0.21712
"2020-07-02","06001",-0.2019,0.21221
"2020-07-03","06001",-0.21529,0.21045
"2020-07-04","06001",-0.27184,0.25447
"2020-07-05","06001",-0.20744,0.26482
"2020-07-06","06001",-0.23474,0.22503
"2020-07-07","06001",-0.24444,0.22885
"2020-07-08","06001",-0.24107,0.22305
"2020-07-09","06001",-0.24779,0.22058
"2020-07-10","06001",-0.21826,0.20854
"2020-07-11","06001",-0.17951,0.23316
"2020-07-12","06001",-0.18195,0.26107
"2020-07-13","06001",-0.23313,0.22682
"2020-07-14","06001",-0.2414,0.22545
"2020-07-15","06001",-0.24047,0.22437
"2020-07-16","06001",-0.24844,0.22148
"2020-07-17","06001",-0.23403,0.21247
"2020-07-18","06001",-0.18225,0.23118
"2020-07-19","06001",-0.1895,0.26239
"2020-07-20","06001",-0.24284,0.22823
"2020-07-21","06001",-0.23877,0.22605
"2020-07-22","06001",-0.24369,0.22397
"2020-07-23","06001",-0.25078,0.22097
"2020-07-24","06001",-0.21894,0.21037
"2020-07-25","06001",-0.17613,0.23362
"2020-07-26","06001",-0.18012,0.26071
"2020-07-27","06001",-0.23383,0.2279
"2020-07-28","06001",-0.24027,0.23017
"2020-07-29","06001",-0.23394,0.22072
"2020-07-30","06001",-0.2362,0.22123
"2020-07-31","06001",-0.19563,0.20647
"2020-08-01","06001",-0.15425,0.22239
"2020-08-02","06001",-0.15699,0.25062
"2020-08-03","06001",-0.20618,0.21848
"2020-08-04","06001",-0.22575,0.21925
"2020-08-05","06001",-0.23739,0.22507
"2020-08-06","06001",-0.23065,0.21734
"2020-08-07","06001",-0.19377,0.2015
"2020-08-08","06001",-0.15156,0.22182
"2020-08-09","06001",-0.16026,0.25504
"2020-08-10","06001",-0.22585,0.22122
"2020-08-11","06001",-0.22441,0.22266
"2020-08-12","06001",-0.22705,0.21775
"2020-08-13","06001",-0.24036,0.22038
"2020-08-14","06001",-0.21098,0.21347
"2020-08-15","06001",-0.14366,0.22782
"2020-08-16","06001",-0.19132,0.26945
"2020-08-17","06001",-0.22164,0.22382
"2020-08-18","06001",-0.23015,0.22186
"2020-08-19","06001",-0.23714,0.22602
"2020-08-20","06001",-0.25644,0.22474
"2020-08-21","06001",-0.23568,0.21642
"2020-08-22","06001",-0.18729,0.23402
"2020-08-23","06001",-0.21129,0.26882
"2020-08-24","06001",-0.25515,0.23956
"2020-08-25","06001",-0.25008,0.23137
"2020-08-26","06001",-0.24639,0.22695
"2020-08-27","06001",-0.25122,0.22204
"2020-08-28","06001",-0.22791,0.20795
"2020-08-29","06001",-0.16688,0.22246
"2020-08-30","06001",-0.17271,0.25126
"2020-08-31","06001",-0.2445,0.2274
"2020-09-01","06001",-0.23117,0.21751
"2020-09-02","06001",-0.21523,0.21844
"2020-09-03","06001",-0.22817,0.20953
"2020-09-04","06001",-0.17512,0.19422
"2020-09-05","06001",-0.11636,0.21637
"2020-09-06","06001",-0.12344,0.24672
"2020-09-07","06001",-0.28943,0.26579
"2020-09-08","06001",-0.22193,0.22058
"2020-09-09","06001",-0.27286,0.24549
"2020-09-10","06001",-0.29816,0.24031
"2020-09-11","06001",-0.2678,0.22175
"2020-09-12","06001",-0.21631,0.23419
"2020-09-13","06001",-0.23966,0.26864
"2020-09-14","06001",-0.2663,0.23477
"2020-09-15","06001",-0.24109,0.2203
"2020-09-16","06001",-0.23806,0.21507
"2020-09-17","06001",-0.24384,0.21321
"2020-09-18","06001",-0.20655,0.19692
"2020-09-19","06001",-0.14583,0.21131
"2020-09-20","06001",-0.16148,0.24117
"2020-09-21","06001",-0.22976,0.21956
"2020-09-22","06001",-0.22846,0.21704
"2020-09-23","06001",-0.21747,0.21161
"2020-09-24","06001",-0.24336,0.21354
"2020-09-25","06001",-0.18217,0.19349
"2020-09-26","06001",-0.11739,0.20512
"2020-09-27","06001",-0.1586,0.24585
"2020-09-28","06001",-0.22913,0.21965
"2020-09-29","06001",-0.22777,0.21396
"2020-09-30","06001",-0.22677,0.21606
"2020-10-01","06001",-0.23511,0.21522
"2020-10-02","06001",-0.20645,0.20484
"2020-10-03","06001",-0.14103,0.21221
"2020-10-04","06001",-0.15986,0.24208
"2020-10-05","06001",-0.21385,0.21084
"2020-10-06","06001",-0.22723,0.21363
"2020-10-07","06001",-0.21496,0.21158
"2020-10-08","06001",-0.23639,0.21322
"2020-10-09","06001",-0.19259,0.19538
"2020-10-10","06001",-0.14234,0.20961
"2020-10-11","06001",-0.15578,0.23711
"2020-10-12","06001",-0.21331,0.21177
"2020-10-13","06001",-0.22145,0.21278
"2020-10-14","06001",-0.2041,0.21066
"2020-10-15","06001",-0.21737,0.21025
"2020-10-16","06001",-0.18421,0.19414
"2020-10-17","06001",-0.11161,0.20047
"2020-10-18","06001",-0.13731,0.23303
"2020-10-19","06001",-0.21669,0.21571
"2020-10-20","06001",-0.2085,0.20781
"2020-10-21","06001",-0.20202,0.20616
"2020-10-22","06001",-0.22109,0.20525
"2020-10-23","06001",-0.17956,0.19549
"2020-10-24","06001",-0.12343,0.20491
"2020-10-25","06001",-0.15148,0.24113
"2020-10-26","06001",-0.219,0.21265
"2020-10-27","06001",-0.21554,0.20698
"2020-10-28","06001",-0.20015,0.20526
"2020-10-29","06001",-0.21581,0.20244
"2020-10-30","06001",-0.17273,0.18716
"2020-10-31","06001",-0.11737,0.19447
"2020-11-01","06001",-0.13388,0.23268
"2020-11-02","06001",-0.21177,0.20972
"2020-11-03","06001",-0.2176,0.20396
"2020-11-04","06001",-0.23634,0.21597
"2020-11-05","06001",-0.23785,0.2089
"2020-11-06","06001",-0.21024,0.20241
"2020-11-07","06001",-0.15373,0.21329
"2020-11-08","06001",-0.19638,0.25941
"2020-11-09","06001",-0.23333,0.22385
