Date,Cases (confirmed plus probable),New cases,Confirmed cases,Probable Cases
9-Nov-20,"971,851","7,212","971,851",N/A
8-Nov-20,"964,639","7,682","964,639",N/A
7-Nov-20,"956,957","5,863","956,957",N/A
6-Nov-20,"951,094","6,518","951,094",N/A
5-Nov-20,"944,576","4,566","944,576",N/A
4-Nov-20,"940,010","5,338","940,010",N/A
3-Nov-20,"934,672","4,044","934,672",N/A
2-Nov-20,"930,628","4,094","930,628",N/A
1-Nov-20,"926,534","4,529","926,534",N/A
31-Oct-20,"922,005","5,087","922,005",N/A
30-Oct-20,"916,918","4,014","916,918",N/A
29-Oct-20,"912,904","4,191","912,904",N/A
28-Oct-20,"908,713","4,515","908,713",N/A
27-Oct-20,"904,198","3,188","904,198",N/A
26-Oct-20,"901,010","2,981","901,010",N/A
25-Oct-20,"898,029","5,219","898,029",N/A
24-Oct-20,"892,810","5,945","892,810",N/A
23-Oct-20,"886,865","6,141","886,865",N/A
22-Oct-20,"880,724","2,940","880,724",N/A
21-Oct-20,"877,784","3,707","877,784",N/A
20-Oct-20,"874,077","3,286","874,077",N/A
19-Oct-20,"870,791","3,474","870,791",N/A
18-Oct-20,"867,317","2,862","867,317",N/A
17-Oct-20,"864,455","2,979","864,455",N/A
16-Oct-20,"861,476","3,075","861,476",N/A
15-Oct-20,"858,401","3,329","858,401",N/A
14-Oct-20,"855,072","2,666","855,072",N/A
13-Oct-20,"852,406","2,378","852,406",N/A
12-Oct-20,"850,028","3,449","850,028",N/A
11-Oct-20,"846,579","3,803","846,579",N/A
10-Oct-20,"842,776","4,170","842,776",N/A
9-Oct-20,"838,606","3,806","838,606",N/A
8-Oct-20,"834,800","3,575","834,800",N/A
7-Oct-20,"831,225","2,764","831,225",N/A
6-Oct-20,"828,461","1,677","828,461",N/A
5-Oct-20,"826,784","3,055","826,784",N/A
4-Oct-20,"823,729","4,293","823,729",N/A
3-Oct-20,"819,436","2,159","819,436",N/A
2-Oct-20,"817,277","3,590","817,277",N/A
1-Oct-20,"813,687","3,062","813,687",N/A
30-Sep-20,"810,625","3,200","810,625",N/A
29-Sep-20,"807,425","2,162","807,425",N/A
28-Sep-20,"805,263","2,955","805,263",N/A
27-Sep-20,"802,308","4,071","802,308",N/A
26-Sep-20,"798,237","4,197","798,237",N/A
25-Sep-20,"794,040","3,400","794,040",N/A
24-Sep-20,"790,640","3,170","790,640",N/A
23-Sep-20,"787,470","3,146","787,470",N/A
22-Sep-20,"784,324","2,630","784,324",N/A
21-Sep-20,"781,694","3,294","781,694",N/A
20-Sep-20,"778,400","4,265","778,400",N/A
19-Sep-20,"774,135","4,304","774,135",N/A
18-Sep-20,"769,831","3,630","769,831",N/A
17-Sep-20,"766,201","3,238","766,201",N/A
16-Sep-20,"762,963","2,950","762,963",N/A
15-Sep-20,"760,013","2,235","760,013",N/A
14-Sep-20,"757,778","2,855","757,778",N/A
13-Sep-20,"754,923","4,625","754,923",N/A
12-Sep-20,"750,298","4,107","750,298",N/A
11-Sep-20,"746,191","3,326","746,191",N/A
10-Sep-20,"742,865","3,338","742,865",N/A
9-Sep-20,"739,527","1,616","739,527",N/A
8-Sep-20,"737,911","2,676","737,911",N/A
7-Sep-20,"735,235","3,091","735,235",N/A
6-Sep-20,"732,144","4,905","732,144",N/A
5-Sep-20,"727,239","4,956","727,239",N/A
4-Sep-20,"722,283","5,106","722,283",N/A
3-Sep-20,"717,177","5,125","717,177",N/A
2-Sep-20,"712,052","4,255","712,052",N/A
1-Sep-20,"707,797","3,712","707,797",N/A
31-Aug-20,"704,085","4,176","704,085",N/A
30-Aug-20,"699,909","6,070","699,909",N/A
29-Aug-20,"693,839","4,981","693,839",N/A
28-Aug-20,"688,858","5,329","688,858",N/A
27-Aug-20,"683,529","4,430","683,529",N/A
26-Aug-20,"679,099","6,004","679,099",N/A
25-Aug-20,"673,095","4,480","673,095",N/A
24-Aug-20,"668,615","4,946","668,615",N/A
23-Aug-20,"663,669","6,777","663,669",N/A
22-Aug-20,"656,892","6,556","656,892",N/A
21-Aug-20,"650,336","5,585","650,336",N/A
20-Aug-20,"644,751","5,920","644,751",N/A
19-Aug-20,"638,831","6,164","638,831",N/A
18-Aug-20,"632,667","4,636","632,667",N/A
17-Aug-20,"628,031","6,469","628,031",N/A
16-Aug-20,"621,562","7,873","621,562",N/A
