Date,Cases (confirmed plus probable),New cases,Confirmed cases,Probable Cases
9-Nov-20,"51,155",707,"48,564","2,591"
8-Nov-20,"50,448",861,"46,120","2,488"
7-Nov-20,"49,587",979,"46,120","2,488"
6-Nov-20,"48,608",769,"46,120","2,488"
5-Nov-20,"47,839",790,"45,380","2,459"
4-Nov-20,"47,049",589,"44,626","2,423"
3-Nov-20,"46,460",482,"44,077","2,383"
2-Nov-20,"45,978",549,"43,633","2,345"
1-Nov-20,"45,429",508,"42,136","2,253"
31-Oct-20,"44,921",532,"42,136","2,253"
30-Oct-20,"44,389",596,"42,136","2,253"
29-Oct-20,"43,793",565,"41,565","2,228"
28-Oct-20,"43,228",420,"41,033","2,195"
27-Oct-20,"42,808",372,"40,638","2,170"
26-Oct-20,"42,436",335,"40,280","2,156"
25-Oct-20,"42,101",362,"39,261","2,087"
24-Oct-20,"41,739",391,"39,261","2,087"
23-Oct-20,"41,348",538,"39,261","2,087"
22-Oct-20,"40,810",367,"38,741","2,069"
21-Oct-20,"40,443",307,"38,406","2,037"
20-Oct-20,"40,136",342,"38,118","2,018"
19-Oct-20,"39,794",262,"37,781","2,013"
18-Oct-20,"39,532",216,"36,971","1,964"
17-Oct-20,"39,316",381,"36,971","1,964"
16-Oct-20,"38,935",410,"36,971","1,964"
15-Oct-20,"38,525",365,"36,585","1,940"
14-Oct-20,"38,160",380,"36,242","1,918"
13-Oct-20,"37,780",313,"35,878","1,902"
12-Oct-20,"37,467",205,"35,581","1,886"
11-Oct-20,"37,262",327,"34,685","1,841"
10-Oct-20,"36,935",409,"34,685","1,841"
9-Oct-20,"36,526",410,"34,685","1,841"
8-Oct-20,"36,116",482,"34,300","1,816"
7-Oct-20,"35,634",294,"33,843","1,791"
6-Oct-20,"35,340",291,"33,575","1,765"
5-Oct-20,"35,049",279,"33,329","1,720"
4-Oct-20,"34,770",259,"32,486","1,677"
3-Oct-20,"34,511",348,"32,486","1,677"
2-Oct-20,"34,163",301,"32,486","1,677"
1-Oct-20,"33,862",353,"32,201","1,661"
30-Sep-20,"33,509",218,"31,871","1,638"
29-Sep-20,"33,291",297,"31,678","1,613"
28-Sep-20,"32,994",174,"31,390","1,604"
27-Sep-20,"32,820",239,"30,742","1,572"
26-Sep-20,"32,581",267,"30,742","1,572"
25-Sep-20,"32,314",449,"30,742","1,572"
24-Sep-20,"31,865",362,"30,316","1,549"
23-Sep-20,"31,503",190,"29,948","1,555"
22-Sep-20,"31,313",318,"29,780","1,533"
21-Sep-20,"30,995",194,"29,481","1,514"
20-Sep-20,"30,801",202,"28,871","1,471"
19-Sep-20,"30,599",257,"28,871","1,471"
18-Sep-20,"30,342",492,"28,871","1,471"
17-Sep-20,"29,850",0,"28,590","1,260"
16-Sep-20,"29,850",188,"28,399","1,451"
15-Sep-20,"29,662",178,"28,223","1,439"
14-Sep-20,"29,484",147,"28,051","1,433"
13-Sep-20,"29,337",181,"27,460","1,405"
12-Sep-20,"29,156",291,"27,460","1,405"
11-Sep-20,"28,865",211,"27,460","1,405"
10-Sep-20,"28,654",183,"27,257","1,397"
9-Sep-20,"28,471",116,"27,094","1,377"
8-Sep-20,"28,355",165,"26,988","1,367"
7-Sep-20,"28,190",146,"26,268","1,333"
6-Sep-20,"28,044",188,"26,268","1,333"
5-Sep-20,"27,856",255,"26,268","1,333"
4-Sep-20,"27,601",265,"26,268","1,333"
3-Sep-20,"27,336",261,"26,015","1,321"
2-Sep-20,"27,075",129,"25,765","1,310"
1-Sep-20,"26,946",233,"25,639","1,307"
31-Aug-20,"26,713",159,"25,403","1,310"
30-Aug-20,"26,554",261,"24,776","1,278"
29-Aug-20,"26,293",239,"24,776","1,278"
28-Aug-20,"26,054",293,"24,776","1,278"
27-Aug-20,"25,761",190,"24,482","1,279"
