Date,Cases (confirmed plus probable),New cases,Confirmed cases,Probable Cases
9-Nov-20,"117,331","1,320","117,331",N/A
8-Nov-20,"116,011","1,770","116,011",N/A
7-Nov-20,"114,241","1,691","114,241",N/A
6-Nov-20,"112,550","1,070","112,550",N/A
5-Nov-20,"111,480","1,469","111,480",N/A
4-Nov-20,"110,011",657,"110,011",N/A
3-Nov-20,"109,354","1,039","109,354",N/A
2-Nov-20,"108,315",814,"108,315",N/A
1-Nov-20,"107,501",928,"107,501",N/A
31-Oct-20,"106,573","1,016","106,573",N/A
30-Oct-20,"105,557",814,"105,557",N/A
29-Oct-20,"104,743",716,"104,743",N/A
28-Oct-20,"104,027",527,"104,027",N/A
27-Oct-20,"103,500",587,"103,500",N/A
26-Oct-20,"102,913",0,"102,913",N/A
25-Oct-20,"102,913","1,568","102,913",N/A
24-Oct-20,"101,345",820,"101,345",N/A
23-Oct-20,"100,525",651,"100,525",N/A
22-Oct-20,"99,874",724,"99,874",N/A
21-Oct-20,"99,150",489,"99,150",N/A
20-Oct-20,"98,661",460,"98,661",N/A
19-Oct-20,"98,201",0,"98,201",N/A
18-Oct-20,"98,201","1,307","98,201",N/A
17-Oct-20,"96,894",709,"96,894",N/A
16-Oct-20,"96,185",676,"96,185",N/A
15-Oct-20,"95,509",734,"95,509",N/A
14-Oct-20,"94,775",0,"94,775",N/A
13-Oct-20,"94,775","1,740","94,775",N/A
12-Oct-20,"93,035",0,"93,035",N/A
11-Oct-20,"93,035",475,"93,035",N/A
10-Oct-20,"92,560",642,"92,560",N/A
9-Oct-20,"91,918",710,"91,918",N/A
8-Oct-20,"91,208",545,"91,208",N/A
7-Oct-20,"90,663",387,"90,663",N/A
6-Oct-20,"90,276",402,"90,276",N/A
5-Oct-20,"89,874",455,"89,874",N/A
4-Oct-20,"89,419",609,"89,419",N/A
3-Oct-20,"88,810",694,"88,810",N/A
2-Oct-20,"88,116",594,"88,116",N/A
1-Oct-20,"87,522",480,"87,522",N/A
30-Sep-20,"87,042",404,"87,042",N/A
29-Sep-20,"86,638",369,"86,638",N/A
28-Sep-20,"86,269",439,"86,269",N/A
27-Sep-20,"85,830",604,"85,830",N/A
26-Sep-20,"85,226",988,"85,226",N/A
25-Sep-20,"84,238",536,"84,238",N/A
24-Sep-20,"83,702",509,"83,702",N/A
23-Sep-20,"83,193",0,"83,193",N/A
22-Sep-20,"83,193",645,"83,193",N/A
21-Sep-20,"82,548",349,"82,548",N/A
20-Sep-20,"82,199",597,"82,199",N/A
19-Sep-20,"81,602",0,"81,602",N/A
18-Sep-20,"81,602",404,"81,602",N/A
17-Sep-20,"81,198",386,"81,198",N/A
16-Sep-20,"80,812",347,"80,812",N/A
15-Sep-20,"80,465",327,"80,465",N/A
14-Sep-20,"80,138",312,"80,138",N/A
13-Sep-20,"79,826",350,"79,826",N/A
12-Sep-20,"79,476",465,"79,476",N/A
11-Sep-20,"79,011",544,"79,011",N/A
10-Sep-20,"78,467",458,"78,467",N/A
9-Sep-20,"78,009",774,"78,009",N/A
8-Sep-20,"77,235",0,"77,235",N/A
7-Sep-20,"77,235",399,"77,235",N/A
6-Sep-20,"76,836",501,"76,836",N/A
5-Sep-20,"76,335",479,"76,335",N/A
4-Sep-20,"75,856",479,"75,856",N/A
3-Sep-20,"75,377",438,"75,377",N/A
2-Sep-20,"74,939",304,"74,939",N/A
1-Sep-20,"74,635",315,"74,635",N/A
31-Aug-20,"74,320",0,"74,320",N/A
30-Aug-20,"74,320","1,019","74,320",N/A
29-Aug-20,"73,301",598,"73,301",N/A
28-Aug-20,"72,703",542,"72,703",N/A
27-Aug-20,"72,161",456,"72,161",N/A
26-Aug-20,"71,705",24,"71,705",N/A
25-Aug-20,"71,681",0,"71,681",N/A
24-Aug-20,"71,681",22,"71,681",N/A
23-Aug-20,"71,659",61,"71,659",N/A
22-Aug-20,"71,598",184,"71,598",N/A
21-Aug-20,"71,414",441,"71,414",N/A
20-Aug-20,"70,973",443,"70,973",N/A
19-Aug-20,"70,530",563,"70,530",N/A
18-Aug-20,"69,967",598,"69,967",N/A
17-Aug-20,"69,369",640,"69,369",N/A
16-Aug-20,"68,729",150,"68,729",N/A
15-Aug-20,"68,579",345,"68,579",N/A
14-Aug-20,"68,234",623,"68,234",N/A
13-Aug-20,"67,611",606,"67,611",N/A
12-Aug-20,"67,005",601,"67,005",N/A
11-Aug-20,"66,404",683,"66,404",N/A
10-Aug-20,"65,721",803,"65,721",N/A
9-Aug-20,"64,918",195,"64,918",N/A
8-Aug-20,"64,723",366,"64,723",N/A
7-Aug-20,"64,357",659,"64,357",N/A
6-Aug-20,"63,698",706,"63,698",N/A
5-Aug-20,"62,992",725,"62,992",N/A
4-Aug-20,"62,267",839,"62,267",N/A
3-Aug-20,"61,428",840,"61,428",N/A
2-Aug-20,"60,588",228,"60,588",N/A
1-Aug-20,"60,360",410,"60,360",N/A
31-Jul-20,"59,950",687,"59,950",N/A
30-Jul-20,"59,263",733,"59,263",N/A
29-Jul-20,"58,530",875,"58,530",N/A
28-Jul-20,"57,655",909,"57,655",N/A
27-Jul-20,"56,746",973,"56,746",N/A
26-Jul-20,"55,773",321,"55,773",N/A
25-Jul-20,"55,452",482,"55,452",N/A
24-Jul-20,"54,970",793,"54,970",N/A
23-Jul-20,"54,177",871,"54,177",N/A
22-Jul-20,"53,306","1,016","53,306",N/A
21-Jul-20,"52,290","1,084","52,290",N/A
20-Jul-20,"51,206",990,"51,206",N/A
19-Jul-20,"50,216",334,"50,216",N/A
18-Jul-20,"49,882",524,"49,882",N/A
17-Jul-20,"49,358",878,"49,358",N/A
16-Jul-20,"48,480",825,"48,480",N/A
15-Jul-20,"47,655",962,"47,655",N/A
14-Jul-20,"46,693",948,"46,693",N/A
13-Jul-20,"45,745","1,070","45,745",N/A
12-Jul-20,"44,675",334,"44,675",N/A
11-Jul-20,"44,341",526,"44,341",N/A
10-Jul-20,"43,815",841,"43,815",N/A
9-Jul-20,"42,974",842,"42,974",N/A
8-Jul-20,"42,132",960,"42,132",N/A
7-Jul-20,"41,172","1,047","41,172",N/A
6-Jul-20,"40,125",969,"40,125",N/A
5-Jul-20,"39,156",293,"39,156",N/A
4-Jul-20,"38,863",231,"38,863",N/A
3-Jul-20,"38,632",443,"38,632",N/A
2-Jul-20,"38,189",869,"38,189",N/A
1-Jul-20,"37,320",878,"37,320",N/A
30-Jun-20,"36,442",902,"36,442",N/A
29-Jun-20,"35,540",984,"35,540",N/A
28-Jun-20,"34,556",264,"34,556",N/A
27-Jun-20,"34,292",489,"34,292",N/A
26-Jun-20,"33,803",620,"33,803",N/A
25-Jun-20,"33,183",660,"33,183",N/A
24-Jun-20,"32,523",675,"32,523",N/A
23-Jun-20,"31,848",616,"31,848",N/A
