"","date","totaltest","state","order","newcases","dailytest","positive.rate","dayofweek"
"1",2020-03-15,1209,"CA",12,41,1209,3.39123242349049,"Sunday"
"2",2020-03-16,8316,"CA",13,42,7107,0.590966652596032,"Monday"
"3",2020-03-17,8464,"CA",14,148,148,100,"Tuesday"
"4",2020-03-18,8592,"CA",15,128,128,100,"Wednesday"
"5",2020-03-19,9711,"CA",16,313,1119,27.9714030384272,"Thursday"
"6",2020-03-20,11487,"CA",17,139,1776,7.82657657657658,"Friday"
"7",2020-03-21,12528,"CA",18,216,1041,20.7492795389049,"Saturday"
"8",2020-03-22,12840,"CA",19,257,312,82.3717948717949,"Sunday"
"9",2020-03-23,14300,"CA",20,197,1460,13.4931506849315,"Monday"
"10",2020-03-24,15554,"CA",21,369,1254,29.4258373205742,"Tuesday"
"11",2020-03-25,18276,"CA",22,253,2722,9.29463629684056,"Wednesday"
"12",2020-03-26,20386,"CA",23,651,2110,30.8530805687204,"Thursday"
"13",2020-03-27,21259,"CA",24,873,873,100,"Friday"
"14",2020-03-28,25192,"CA",25,764,3933,19.4253750317824,"Saturday"
"15",2020-03-29,26257,"CA",26,1065,1065,100,"Sunday"
"16",2020-03-30,26996,"CA",27,739,739,100,"Monday"
"17",2020-03-31,29254,"CA",28,1035,2258,45.837023914969,"Tuesday"
"18",2020-04-01,29927,"CA",29,673,673,100,"Wednesday"
"19",2020-04-02,33000,"CA",30,1036,3073,33.7129840546697,"Thursday"
"20",2020-04-03,35300,"CA",31,1510,2300,65.6521739130435,"Friday"
"21",2020-04-04,113700,"CA",32,1325,78400,1.69005102040816,"Saturday"
"22",2020-04-05,116533,"CA",33,1412,2833,49.8411577832686,"Sunday"
"23",2020-04-06,117431,"CA",34,898,898,100,"Monday"
"24",2020-04-07,131229,"CA",35,1529,13798,11.0813161327729,"Tuesday"
"25",2020-04-08,144264,"CA",36,1092,13035,8.37744533947066,"Wednesday"
"26",2020-04-09,163500,"CA",37,1352,19236,7.02848825119568,"Thursday"
"27",2020-04-10,164863,"CA",38,1163,1363,85.3264856933235,"Friday"
"28",2020-04-11,173219,"CA",39,1143,8356,13.6787936811872,"Saturday"
"29",2020-04-12,190328,"CA",40,1179,17109,6.89110994213572,"Sunday"
"30",2020-04-13,190882,"CA",41,554,554,100,"Monday"
"31",2020-04-14,202208,"CA",42,990,11326,8.74095002648773,"Tuesday"
"32",2020-04-15,216486,"CA",43,1086,14278,7.60610729794089,"Wednesday"
"33",2020-04-16,246400,"CA",44,1758,29914,5.87684696128903,"Thursday"
"34",2020-04-17,251614,"CA",45,1346,5214,25.8151131568853,"Friday"
"35",2020-04-18,259666,"CA",46,1435,8052,17.8216592151018,"Saturday"
"36",2020-04-19,280900,"CA",47,1370,21234,6.45191673730809,"Sunday"
"37",2020-04-20,290500,"CA",48,645,9600,6.71875,"Monday"
"38",2020-04-21,300100,"CA",49,2283,9600,23.78125,"Tuesday"
"39",2020-04-22,465327,"CA",50,2135,165227,1.29216169270156,"Wednesday"
"40",2020-04-23,482097,"CA",51,1973,16770,11.7650566487776,"Thursday"
"41",2020-04-24,494173,"CA",52,1885,12076,15.6094733355416,"Friday"
"42",2020-04-25,506035,"CA",53,1883,11862,15.8742201989546,"Saturday"
"43",2020-04-26,526084,"CA",54,1027,20049,5.12244999750611,"Sunday"
"44",2020-04-27,553409,"CA",55,1300,27325,4.75754803293687,"Monday"
"45",2020-04-28,577608,"CA",56,1567,24199,6.47547419314848,"Tuesday"
"46",2020-04-29,603139,"CA",57,1469,25531,5.7537895107908,"Wednesday"
"47",2020-04-30,625337,"CA",58,2417,22198,10.8883683214704,"Thursday"
"48",2020-05-01,654985,"CA",59,1525,29648,5.14368591473287,"Friday"
"49",2020-05-02,685048,"CA",60,1755,30063,5.83774074443668,"Saturday"
"50",2020-05-03,715751,"CA",61,1419,30703,4.6216982053871,"Sunday"
"51",2020-05-04,747874,"CA",62,1321,32123,4.11231827662423,"Monday"
"52",2020-05-05,779902,"CA",63,1275,32028,3.98089171974522,"Tuesday"
"53",2020-05-06,809036,"CA",64,2603,29134,8.93457815610627,"Wednesday"
"54",2020-05-07,842874,"CA",65,1799,33838,5.31650806785271,"Thursday"
"55",2020-05-08,875272,"CA",66,1898,32398,5.85838632014322,"Friday"
"56",2020-05-09,912570,"CA",67,2049,37298,5.49359214971312,"Saturday"
"57",2020-05-10,955664,"CA",68,2119,43094,4.91715784099875,"Sunday"
"58",2020-05-11,991897,"CA",69,1259,36233,3.47473297822427,"Monday"
"59",2020-05-12,1033370,"CA",70,1443,41473,3.4793721216213,"Tuesday"
"60",2020-05-13,1065592,"CA",71,1759,32222,5.45900316553907,"Wednesday"
"61",2020-05-14,1104651,"CA",72,2023,39059,5.1793440692286,"Thursday"
"62",2020-05-15,1133906,"CA",73,1772,29255,6.05708425910101,"Friday"
"63",2020-05-16,1179126,"CA",74,1857,45220,4.10659000442282,"Saturday"
"64",2020-05-17,1235243,"CA",75,2046,56117,3.64595398898729,"Sunday"
"65",2020-05-18,1292672,"CA",76,1591,57429,2.77037733549252,"Monday"
"66",2020-05-19,1339316,"CA",77,1365,46644,2.92642140468227,"Tuesday"
"67",2020-05-20,1380120,"CA",78,2262,40804,5.54357415939614,"Wednesday"
"68",2020-05-21,1421127,"CA",79,2140,41007,5.21862121101275,"Thursday"
"69",2020-05-22,1466773,"CA",80,2247,45646,4.92266573193708,"Friday"
"70",2020-05-23,1515306,"CA",81,2187,48533,4.5062122679414,"Saturday"
"71",2020-05-24,1582745,"CA",82,2079,67439,3.0827859250582,"Sunday"
"72",2020-05-25,1644102,"CA",83,1848,61357,3.01188128493896,"Monday"
"73",2020-05-26,1696396,"CA",84,2175,52294,4.15917696102803,"Tuesday"
"74",2020-05-27,1736894,"CA",85,2247,40498,5.54842214430342,"Wednesday"
"75",2020-05-28,1790559,"CA",86,2717,53665,5.06289015186807,"Thursday"
"76",2020-05-29,1835478,"CA",87,2189,44919,4.87321623366504,"Friday"
"77",2020-05-30,1888595,"CA",88,2992,53117,5.63284824067624,"Saturday"
"78",2020-05-31,1944848,"CA",89,3705,56253,6.58631539651219,"Sunday"
"79",2020-06-01,2012583,"CA",90,2423,67735,3.57717575847051,"Monday"
"80",2020-06-02,2071591,"CA",91,2304,59008,3.90455531453362,"Tuesday"
"81",2020-06-03,2131294,"CA",92,2377,59703,3.98137447029462,"Wednesday"
"82",2020-06-04,2182671,"CA",93,2120,51377,4.12636004437783,"Thursday"
"83",2020-06-05,2238463,"CA",94,3094,55792,5.54559793518784,"Friday"
"84",2020-06-06,2308300,"CA",95,3115,69837,4.46038632816415,"Saturday"
"85",2020-06-07,2362218,"CA",96,2796,53918,5.18565228680589,"Sunday"
"86",2020-06-08,2431190,"CA",97,2507,68972,3.63480832801717,"Monday"
"87",2020-06-09,2486245,"CA",98,2170,55055,3.94151303242212,"Tuesday"
"88",2020-06-10,2540798,"CA",99,2702,54553,4.95298150422525,"Wednesday"
"89",2020-06-11,2597647,"CA",100,3090,56849,5.43545181093775,"Thursday"
"90",2020-06-12,2662258,"CA",101,2702,64611,4.18195044187522,"Friday"
"91",2020-06-13,2724393,"CA",102,3660,62135,5.89039993562404,"Saturday"
"92",2020-06-14,2801996,"CA",103,3212,77603,4.13901524425602,"Sunday"
"93",2020-06-15,2868182,"CA",104,2597,66186,3.92379052971928,"Monday"
"94",2020-06-16,2937755,"CA",105,2108,69573,3.02991102870366,"Tuesday"
"95",2020-06-17,2997988,"CA",106,3455,60233,5.73605830690817,"Wednesday"
"96",2020-06-18,3074530,"CA",107,4084,76542,5.33563272451726,"Thursday"
"97",2020-06-19,3155702,"CA",108,4317,81172,5.31833637214803,"Friday"
"98",2020-06-20,3234412,"CA",109,3893,78710,4.94600431965443,"Saturday"
"99",2020-06-21,3319256,"CA",110,4515,84844,5.32153128093914,"Sunday"
"100",2020-06-22,3411686,"CA",111,4230,92430,4.57643622200584,"Monday"
"101",2020-06-23,3496929,"CA",112,5019,85243,5.88787349107845,"Tuesday"
"102",2020-06-24,3592899,"CA",113,7149,95970,7.44920287589872,"Wednesday"
"103",2020-06-25,3694345,"CA",114,5349,101446,5.27275594897778,"Thursday"
"104",2020-06-26,3771314,"CA",115,4890,76969,6.3532071353402,"Friday"
"105",2020-06-27,3862310,"CA",116,5972,90996,6.56292584289419,"Saturday"
"106",2020-06-28,3955952,"CA",117,4810,93642,5.13658401144786,"Sunday"
"107",2020-06-29,4061692,"CA",118,8009,105740,7.57423869869491,"Monday"
"108",2020-06-30,4167139,"CA",119,9480,105447,8.99029844376796,"Tuesday"
"109",2020-07-01,4254176,"CA",120,7407,87037,8.51017383411653,"Wednesday"
"110",2020-07-02,4338718,"CA",121,6408,84542,7.57966454543304,"Thursday"
"111",2020-07-03,4448176,"CA",122,5688,109458,5.1965137312942,"Friday"
"112",2020-07-04,4553031,"CA",123,9153,104855,8.72919746316342,"Saturday"
"113",2020-07-05,4680138,"CA",124,8597,127107,6.763592878441,"Sunday"
"114",2020-07-06,4793353,"CA",125,5699,113215,5.03378527580268,"Monday"
"115",2020-07-07,4896370,"CA",126,6090,103017,5.91164565071784,"Tuesday"
"116",2020-07-08,4996175,"CA",127,11694,99805,11.716847853314,"Wednesday"
