"pm","pm.low","pm.high","max.lag","df.date","df.tmmx","df.rmax","cause","mobility"
"5.35986032939579","2.73517258162985","8.05160384394694","0","3","1","1","cases",0
"8.85546855902113","6.30603511328303","11.4660425682966","0","4","1","1","cases",0
"9.58894960252574","7.10543891616178","12.130046769947","0","5","2","2","cases",0
"8.78867763592861","6.27417322438131","11.3626765816968","0","6","2","2","cases",0
"7.46343830322702","4.90396958535255","10.0853534675388","0","7","2","2","cases",0
"7.5085031607111","4.983327857802","10.0944167774128","0","8","2","2","cases",0
"8.00181193055254","5.46300685275474","10.6017335212907","0","9","3","3","cases",0
"7.64335955365059","5.07208977168745","10.2775521184955","0","10","3","3","cases",0
"7.41297469841735","4.82271155402776","10.0672455664931","0","11","3","3","cases",0
"7.64890165817504","5.08147041623412","10.2790623533296","0","12","3","3","cases",0
"10.3623972451905","6.94974263658668","13.8839460987968","1","3","1","1","cases",0
"15.9936537156661","12.5090833708097","19.5861462844397","1","4","1","1","cases",0
"17.991972181134","14.5217900167141","21.5673060747794","1","5","2","2","cases",0
"16.716338100248","13.2277115892877","20.3124516809561","1","6","2","2","cases",0
"14.1930853178861","10.6967996496235","17.7997988712619","1","7","2","2","cases",0
"14.1312417741522","10.6693992725727","17.7013739527745","1","8","2","2","cases",0
"14.7383196355601","11.2713472584933","18.3133153066688","1","9","3","3","cases",0
"14.195961593776","10.704176861715","17.7978827358686","1","10","3","3","cases",0
"13.7852889855477","10.2780810216012","17.4040377705569","1","11","3","3","cases",0
"14.1381823350091","10.6499690797522","17.7363606613397","1","12","3","3","cases",0
"12.6634269750188","8.55279888593967","16.9297144617379","2","3","1","1","cases",0
"19.5413965616801","15.241424554385","24.0018122578223","2","4","1","1","cases",0
"22.4510005500684","18.1326797641276","26.9271768459962","2","5","2","2","cases",0
"20.8574603586159","16.5255828913436","25.3503768177203","2","6","2","2","cases",0
"17.0444563371493","12.7205145415926","21.534263882409","2","7","2","2","cases",0
"16.7376307690236","12.4558449946104","21.1824466591133","2","8","2","2","cases",0
"17.9384079729464","13.5908458754251","22.4523681287456","2","9","3","3","cases",0
"17.2144903296637","12.8432293521036","21.7550828891331","2","10","3","3","cases",0
"16.564416682929","12.1753062558181","21.1252608987352","2","11","3","3","cases",0
"17.0284053267614","12.658675677562","21.567625138101","2","12","3","3","cases",0
