"pm","pm.low","pm.high","max.lag","df.date","df.tmmx","df.rmax","cause","mobility"
"1.23945783674795","0.547223099634642","1.93645838356233","0","3","1","1","cases",0
"2.18781343938972","1.52007212574856","2.8599467757374","0","4","1","1","cases",0
"2.0685264985232","1.3974394244243","2.74405508380404","0","5","2","2","cases",0
"1.84200777123851","1.1734310397439","2.51500260777613","0","6","2","2","cases",0
"1.91489851223097","1.25332256657904","2.58079710844654","0","7","2","2","cases",0
"1.94851303998962","1.28781673166596","2.61351904345648","0","8","2","2","cases",0
"1.92401165815628","1.25568417619166","2.59675036529587","0","9","3","3","cases",0
"1.95596197470778","1.28818906842074","2.62813737509082","0","10","3","3","cases",0
"1.99999756553295","1.33527474571047","2.66908072708545","0","11","3","3","cases",0
"1.97062604058504","1.30549637742228","2.64012266787748","0","12","3","3","cases",0
"1.5829839385441","0.88295485258103","2.28787054203241","1","3","1","1","cases",0
"2.62273219002793","1.94642483042007","3.30352613801219","1","4","1","1","cases",0
"2.50029252598083","1.82060912898263","3.18451301546065","1","5","2","2","cases",0
"2.25140472053691","1.57363360854783","2.9336984006761","1","6","2","2","cases",0
"2.29883491310565","1.62755430336294","2.97454953348755","1","7","2","2","cases",0
"2.33179781552626","1.66152941679683","3.00648538568573","1","8","2","2","cases",0
"2.31218839647809","1.63494207596342","2.9939475604035","1","9","3","3","cases",0
"2.34136290455098","1.66453799309165","3.02269373291915","1","10","3","3","cases",0
"2.38227780998155","1.70870659369204","3.06030978679601","1","11","3","3","cases",0
"2.34792421363335","1.67400847429491","3.02630680178142","1","12","3","3","cases",0
"1.25944132539879","0.493242972616104","2.03148146314573","2","3","1","1","cases",0
"2.51254471796134","1.77231428679376","3.25815913882266","2","4","1","1","cases",0
"2.35341921032144","1.61033621035254","3.10193642461773","2","5","2","2","cases",0
"2.02988404720217","1.28702447622049","2.77819190087407","2","6","2","2","cases",0
"2.04284709764644","1.30578202218765","2.78527479816588","2","7","2","2","cases",0
"2.08686461578333","1.35138566848227","2.82768073019222","2","8","2","2","cases",0
"2.04943090219407","1.30695409341286","2.79734930989131","2","9","3","3","cases",0
"2.07597691518044","1.33372948604016","2.82366114457331","2","10","3","3","cases",0
"2.1228795159806","1.38458646344355","2.86654889494398","2","11","3","3","cases",0
"2.07259176115193","1.33409347514006","2.81647204348647","2","12","3","3","cases",0
"1.4801453630882","0.668515593492658","2.29831881596954","3","3","1","1","cases",0
"2.94428836720395","2.16014892391809","3.73444654355741","3","4","1","1","cases",0
"2.75621390047842","1.96925237201508","3.54924891122075","3","5","2","2","cases",0
"2.36406899614094","1.57542518231808","3.15883593535524","3","6","2","2","cases",0
"2.34080573724889","1.55720334754215","3.13045430275523","3","7","2","2","cases",0
"2.39254135514786","1.61095083826697","3.18014385923131","3","8","2","2","cases",0
"2.36480981081364","1.57549793614429","3.16025518468459","3","9","3","3","cases",0
"2.38683881760302","1.59758378948802","3.1822251283349","3","10","3","3","cases",0
"2.43803656603296","1.65328979206272","3.22884145676967","3","11","3","3","cases",0
"2.36901717000924","1.58381947827653","3.16028409026936","3","12","3","3","cases",0
"1.74265650936112","0.865047665945595","2.62790127126242","4","3","1","1","cases",0
"3.50224596057434","2.65971675291294","4.35168981293002","4","4","1","1","cases",0
"3.24717709312525","2.39793716441878","4.1034602150491","4","5","2","2","cases",0
"2.75999176749888","1.90488084902851","3.62227814878118","4","6","2","2","cases",0
"2.68786344352341","1.83579820004691","3.54705795973085","4","7","2","2","cases",0
"2.74662739138418","1.89702380194088","3.60331486053529","4","8","2","2","cases",0
"2.73811656635941","1.87924492851776","3.60422874167072","4","9","3","3","cases",0
"2.75282708108326","1.89364296101433","3.61925598434698","4","10","3","3","cases",0
"2.80163203558996","1.94731875584764","3.66310441660982","4","11","3","3","cases",0
"2.69736321407896","1.84161124881868","3.56030586904914","4","12","3","3","cases",0
"2.43334745094768","1.50318913968619","3.37202957797633","5","3","1","1","cases",0
"4.49184278123913","3.59266243621801","5.39882797723961","5","4","1","1","cases",0
"4.17404501667629","3.26855751936304","5.08747208076075","5","5","2","2","cases",0
"3.60915046565198","2.69657593037971","4.52983425164546","5","6","2","2","cases",0
"3.49052140407928","2.5790415013746","4.41010038434284","5","7","2","2","cases",0
"3.55366826282388","2.64451653945454","4.47087260199748","5","8","2","2","cases",0
"3.60620963047782","2.68530694736644","4.53537115584204","5","9","3","3","cases",0
"3.61330202355488","2.69167179590006","4.54320363545802","5","10","3","3","cases",0
"3.65663191548218","2.73958337365559","4.58186598814752","5","11","3","3","cases",0
"3.51975232375903","2.60100468101108","4.44672695447537","5","12","3","3","cases",0
"2.98772455013601","1.99393208081979","3.9912001785571","6","3","1","1","cases",0
"5.43706975962532","4.47566006672486","6.40732657152954","6","4","1","1","cases",0
"5.06240222161829","4.09193052150583","6.04192184039263","6","5","2","2","cases",0
"4.38721796896506","3.40532144834826","5.37843819520645","6","6","2","2","cases",0
"4.19130948407846","3.20707023941806","5.18493497416257","6","7","2","2","cases",0
"4.26206525947757","3.28034054670914","5.2531216941067","6","8","2","2","cases",0
"4.42465374856351","3.42749915298823","5.43142200874076","6","9","3","3","cases",0
"4.41874650661145","3.42010099646186","5.42703514073144","6","10","3","3","cases",0
"4.45590227862656","3.461777926721","5.45957878831305","6","11","3","3","cases",0
"4.28190524064915","3.28548485147495","5.28793834155521","6","12","3","3","cases",0
"3.49408653255765","2.45362634473092","4.54511303649319","7","3","1","1","cases",0
"6.24249068542531","5.23314536926485","7.2615171525547","7","4","1","1","cases",0
"5.8632022872058","4.8417228207936","6.89463409198319","7","5","2","2","cases",0
"5.1171432433786","4.08140394103649","6.16318943880434","7","6","2","2","cases",0
"4.86329097852849","3.82214063436823","5.91488219813712","7","7","2","2","cases",0
"4.94258781557531","3.90403404464954","5.99152226079365","7","8","2","2","cases",0
"5.15262833895556","4.09523187331784","6.22076580843582","7","9","3","3","cases",0
"5.1375972402854","4.07784216532669","6.20814309256554","7","10","3","3","cases",0
"5.17032643337925","4.11518746306054","6.23615854341959","7","11","3","3","cases",0
"4.97112899937624","3.91326632533144","6.03976097628975","7","12","3","3","cases",0
"3.429065308413","2.3173637496299","4.55284575889647","8","3","1","1","cases",0
"6.47983470144704","5.39481275952098","7.57602676250551","8","4","1","1","cases",0
"6.09226296947143","4.99228077412321","7.20376944852092","8","5","2","2","cases",0
"5.21960188609303","4.10187979385379","6.34932474794327","8","6","2","2","cases",0
"4.88208281462166","3.75519490421736","6.02120988436432","8","7","2","2","cases",0
"4.98958330122574","3.86640857846734","6.12490363944451","8","8","2","2","cases",0
"5.1653249476816","4.02136788821128","6.32186247768871","8","9","3","3","cases",0
"5.13810935186048","3.99088860266987","6.29798616606847","8","10","3","3","cases",0
"5.18447745438404","4.04301710782495","6.33846081074221","8","11","3","3","cases",0
"4.93363151209072","3.78851870667491","6.09137850241894","8","12","3","3","cases",0
"4.12963246366487","2.96929378091468","5.30304675186255","9","3","1","1","cases",0
"7.42590736113755","6.28260183506768","8.58151167838654","9","4","1","1","cases",0
"7.05686045176062","5.89770492784099","8.2287040837894","9","5","2","2","cases",0
"6.12248499841899","4.94682015996191","7.31132020078302","9","6","2","2","cases",0
"5.75028196871128","4.56548855298755","6.94849984653398","9","7","2","2","cases",0
"5.87132023027241","4.69035418114374","7.06560824034106","9","8","2","2","cases",0
"6.08663646003882","4.88470662653322","7.30233984901438","9","9","3","3","cases",0
"6.0569219706182","4.85154559664047","7.27615538594595","9","10","3","3","cases",0
"6.11201865869178","4.913464550791","7.32426530792378","9","11","3","3","cases",0
"5.84476612355869","4.64413762824336","7.05916996087057","9","12","3","3","cases",0
"4.59726673142036","3.33296527761455","5.87703719031858","10","3","1","1","cases",0
"8.26877789561504","7.02290145121838","9.5291578536864","10","4","1","1","cases",0
"7.94824083968355","6.6866959433314","9.22470320546749","10","5","2","2","cases",0
"6.92573694884657","5.64460528318171","8.22240465007493","10","6","2","2","cases",0
"6.50172224206371","5.2093482867948","7.80997150183225","10","7","2","2","cases",0
"6.651922017947","5.36535057912657","7.9542032328759","10","8","2","2","cases",0
"6.81933139385302","5.51098252142788","8.14390394964337","10","9","3","3","cases",0
"6.78440293739884","5.47194340033017","8.11319430624102","10","10","3","3","cases",0
"6.87812196721462","5.57589707367629","8.19640914125785","10","11","3","3","cases",0
"6.61602946894211","5.31438068465526","7.93376617537807","10","12","3","3","cases",0
"5.32273018509251","3.9742235687718","6.68872642558971","11","3","1","1","cases",0
"9.18858619171126","7.85903568368471","10.5345257258605","11","4","1","1","cases",0
"8.89731304480372","7.55489388752322","10.2564872666721","11","5","2","2","cases",0
"7.84300113041765","6.48149209084643","9.22191889359363","11","6","2","2","cases",0
"7.40595535320907","6.03272989955617","8.79696539232295","11","7","2","2","cases",0
"7.57501276833463","6.20924683420954","8.95834135959568","11","8","2","2","cases",0
"7.7033036543102","6.31379378728001","9.11097426607343","11","9","3","3","cases",0
"7.6678316749049","6.27365906773574","9.08029401892545","11","10","3","3","cases",0
"7.81038780731624","6.42954012255541","9.20915100995223","11","11","3","3","cases",0
"7.57960218823859","6.20277701314731","8.97427668531632","11","12","3","3","cases",0
"4.88039047241384","3.3034680762287","6.48138451198035","12","3","1","1","cases",0
"9.14437579458922","7.58942508684195","10.7217996376058","12","4","1","1","cases",0
"8.86940312838085","7.29971487959071","10.4620543570928","12","5","2","2","cases",0
"7.68718539417403","6.09638281573568","9.3018403677309","12","6","2","2","cases",0
"7.17294490865716","5.56659563388666","8.80373712370686","12","7","2","2","cases",0
"7.41742511109089","5.82349463459115","9.03536362448911","12","8","2","2","cases",0
"7.34414180921117","5.72887052698223","8.9840903749691","12","9","3","3","cases",0
"7.29424792175624","5.67015990743454","8.94329721067593","12","10","3","3","cases",0
"7.58851139311338","5.98192763325931","9.21944941255746","12","11","3","3","cases",0
"7.47520709455904","5.87947148167289","9.0949924321992","12","12","3","3","cases",0
"5.06199328597563","3.38083214085052","6.77049318178933","13","3","1","1","cases",0
"9.52876819616135","7.86947996955965","11.2135802078014","13","4","1","1","cases",0
