"pm","pm.low","pm.high","max.lag","df.date","df.tmmx","df.rmax","cause","mobility"
"0.485179236161093","-0.508317254565127","1.48859650870394","0","3","1","1","cases",1
"1.80826929003741","0.832068615082227","2.79392100344564","0","4","1","1","cases",1
"1.96931743473516","0.963448442367176","2.98520760254255","0","5","2","2","cases",1
"1.80878485621416","0.80492137449435","2.82264528923548","0","6","2","2","cases",1
"2.08999437579405","1.09384966791237","3.09595475774789","0","7","2","2","cases",1
"2.09845067566343","1.10487326735949","3.1017921639211","0","8","2","2","cases",1
"2.04494382378066","1.03846129796337","3.06145230468242","0","9","3","3","cases",1
"2.2042821396391","1.19950547328107","3.21903490365232","0","10","3","3","cases",1
"2.11170946784254","1.10870724808108","3.12466150775528","0","11","3","3","cases",1
"2.18867635936091","1.1859398918693","3.2013497847373","0","12","3","3","cases",1
"0.878297151535357","-0.117850143339238","1.8843792489198","1","3","1","1","cases",1
"2.21776089259129","1.23858137678861","3.20641103225228","1","4","1","1","cases",1
"2.41447999675914","1.40393005327264","3.43510066618049","1","5","2","2","cases",1
"2.24071223622526","1.23150993935899","3.25997552375157","1","6","2","2","cases",1
"2.48599117005424","1.48380208203389","3.49807723618871","1","7","2","2","cases",1
"2.48939164650301","1.48989350093458","3.49873310265671","1","8","2","2","cases",1
"2.44642394410943","1.43564609473676","3.46727391211217","1","9","3","3","cases",1
"2.59875292098182","1.58951320185845","3.61801891918216","1","10","3","3","cases",1
"2.50196237692792","1.49453119375207","3.51939328695503","1","11","3","3","cases",1
"2.57411183534799","1.5669278717676","3.59128349431064","1","12","3","3","cases",1
"0.277926301146514","-0.819547872644555","1.38754449663041","2","3","1","1","cases",1
"1.86458762700175","0.787712135931007","2.95296909234943","2","4","1","1","cases",1
"2.05094740237659","0.940543066924171","3.1735668275316","2","5","2","2","cases",1
"1.78082016577947","0.669011006462306","2.90490837298223","2","6","2","2","cases",1
"1.99032179510026","0.886424353816251","3.10629806233809","2","7","2","2","cases",1
"2.0056075144244","0.904960556863887","3.11826006337013","2","8","2","2","cases",1
"1.93749942111097","0.825487683242909","3.06177561842842","2","9","3","3","cases",1
"2.09911270070517","0.989260472837139","3.22116198756679","2","10","3","3","cases",1
"1.99353146038701","0.88558765101816","3.11364290948815","2","11","3","3","cases",1
"2.04941377717296","0.942143955810271","3.16882963000729","2","12","3","3","cases",1
"0.438985518840496","-0.71243752778245","1.60376144672352","3","3","1","1","cases",1
"2.24275671186125","1.11083514133561","3.38734998507859","3","4","1","1","cases",1
"2.46909987117221","1.30108529351511","3.6505818075419","3","5","2","2","cases",1
"2.12087133507852","0.948332756599268","3.30702922435249","3","6","2","2","cases",1
"2.28663537557374","1.12176664947066","3.46492276705432","3","7","2","2","cases",1
"2.3105467138149","1.14987498149255","3.48453688939245","3","8","2","2","cases",1
"2.24718873028857","1.07345736554074","3.4345502344667","3","9","3","3","cases",1
"2.41224682761378","1.24074236382539","3.59730732306132","3","10","3","3","cases",1
"2.30143356321557","1.13252047013113","3.48385722454088","3","11","3","3","cases",1
"2.33229571471503","1.16304563801506","3.51506007158755","3","12","3","3","cases",1
