"pm","pm.low","pm.high","lag","df.date","df.tmmx","df.rmax","cause","mobility"
"0.485179236161093","-0.508317254565127","1.48859650870394","0","3","1","1","cases",1
"1.80826929003741","0.832068615082227","2.79392100344564","0","4","1","1","cases",1
"1.96931743473516","0.963448442367176","2.98520760254255","0","5","2","2","cases",1
"1.80878485621416","0.80492137449435","2.82264528923548","0","6","2","2","cases",1
"2.08999437579405","1.09384966791237","3.09595475774789","0","7","2","2","cases",1
"2.09845067566343","1.10487326735949","3.1017921639211","0","8","2","2","cases",1
"2.04494382378066","1.03846129796337","3.06145230468242","0","9","3","3","cases",1
"2.2042821396391","1.19950547328107","3.21903490365232","0","10","3","3","cases",1
"2.11170946784254","1.10870724808108","3.12466150775528","0","11","3","3","cases",1
"2.18867635936091","1.1859398918693","3.2013497847373","0","12","3","3","cases",1
"1.83755589432404","0.950281794152197","2.73262844057096","1","3","1","1","cases",1
"3.00498016221291","2.13306359678291","3.88434033571945","1","4","1","1","cases",1
"3.180492752819","2.28216286442069","4.0867125466103","1","5","2","2","cases",1
"2.9328659560973","2.03144770714192","3.84224797384953","1","6","2","2","cases",1
"3.05773370176374","2.16120424146395","3.96213077755565","1","7","2","2","cases",1
"3.07306015901692","2.18027382637289","3.97364709158015","1","8","2","2","cases",1
"3.05209241707054","2.14974579769638","3.96240997572739","1","9","3","3","cases",1
"3.17136470832531","2.27044940244536","4.08021630854161","1","10","3","3","cases",1
"3.09233295461513","2.19369236352087","3.99887574488906","1","11","3","3","cases",1
"3.11486664121454","2.21554873877685","4.02209696695399","1","12","3","3","cases",1
"1.19242162670092","0.261237435466444","2.13225426493429","2","3","1","1","cases",1
"2.4327766093639","1.52061514155786","3.35313383664393","2","4","1","1","cases",1
"2.52216866281434","1.58666622464045","3.46628605848562","2","5","2","2","cases",1
"2.17783089286554","1.23461066994257","3.1298392603079","2","6","2","2","cases",1
"2.20570389299506","1.26750454013111","3.15259525451184","2","7","2","2","cases",1
"2.2374529077914","1.30411944643798","3.17938534177145","2","8","2","2","cases",1
"2.18687143698644","1.24066952401773","3.14191661486356","2","9","3","3","cases",1
"2.2902562520382","1.3460264419096","3.24328334772044","2","10","3","3","cases",1
"2.21790693207935","1.27628104709148","3.16828767356583","2","11","3","3","cases",1
"2.19013611590659","1.24629735224908","3.14277353823191","2","12","3","3","cases",1
"1.07264892820207","0.130329158375075","2.02383680578495","3","3","1","1","cases",1
"2.3854917072532","1.46407342055299","3.31527760260977","3","4","1","1","cases",1
"2.45043629222661","1.51143597988084","3.39812253811353","3","5","2","2","cases",1
"2.03541981082258","1.08534858216682","2.99442047734624","3","6","2","2","cases",1
"1.96795273247867","1.0210611873565","2.92371969018992","3","7","2","2","cases",1
"2.00936943156933","1.0681650304069","2.95933886497017","3","8","2","2","cases",1
"1.97121124974555","1.01417871958029","2.93731093538743","3","9","3","3","cases",1
"2.0546658366833","1.09904409208803","3.01932043541626","3","10","3","3","cases",1
"1.99061429666363","1.03845737185719","2.95174407035395","3","11","3","3","cases",1
"1.91951654919782","0.964037670076312","2.88403765671583","3","12","3","3","cases",1
