,coef,high,low
519,5.530300733232838,5.611775390185318,5.448826076280359
370,5.465270628674989,5.509567112249253,5.4209741451007245
354,5.278680718286608,5.336638872723116,5.220722563850099
362,5.262738333166794,5.311304040523062,5.2141726258105265
366,4.914787787812654,4.979359560553484,4.850216015071823
543,4.790785039002522,94257.0364344102,-94247.45486433219
365,4.43706148799787,4.496445407781412,4.377677568214327
395,4.411074842343315,4.469556340771668,4.352593343914963
533,4.307584689108173,4.453706804503843,4.161462573712503
238,4.22226847219572,4.283296621663193,4.161240322728248
368,4.134095637653726,4.198426140355994,4.069765134951457
522,4.126091616215119,4.233355224285867,4.018828008144371
540,4.048589470569569,5.084361386926894,3.0128175542122433
351,3.9573034625771357,4.058677624396123,3.8559293007581488
114,3.9286918177475783,4.053149021685961,3.8042346138091956
70,3.8382773822120684,3.919700809168562,3.7568539552555746
103,3.6915490609938435,3.8036337637492914,3.5794643582383956
188,3.6675070431614607,3.740898215128246,3.5941158711946755
28,3.4337450256054862,3.5463453006558034,3.321144750555169
331,3.3562545201499887,3.5095775859429192,3.202931454357058
372,3.266318322312803,3.3704523277397813,3.162184316885825
369,3.090371658056285,3.1987086239607496,2.982034692151821
302,3.0029658240199915,3.14463681704808,2.861294830991903
407,2.999718648739964,3.207549891156743,2.7918874063231853
116,2.977781867633032,3.1832575255391458,2.772306209726918
378,2.8917193742025527,3.06196825737677,2.7214704910283354
404,2.849364742272653,2.9561064262111008,2.7426230583342055
214,2.7514422268746253,2.8891918635083327,2.613692590240918
32,2.737298732159108,2.858979984384368,2.615617479933848
537,2.702084881375919,3.328075703488209,2.076094059263629
371,2.6667159993235914,2.794166795429558,2.539265203217625
392,2.570994767594079,2.6905502821002747,2.4514392530878837
14,2.422812211944031,2.5451648081390537,2.3004596157490087
148,2.350850137251105,2.449102993821479,2.2525972806807313
403,2.2410089725019313,2.3861654088553244,2.0958525361485383
516,2.236471785769039,2.4724140587468955,2.0005295127911826
47,2.1626229458917474,2.288033976824517,2.037211914958978
186,2.1601869718619406,2.4958735221164394,1.8245004216074419
155,2.155208225199068,2.4157252632890502,1.8946911871090852
393,2.152349772364745,2.283737869292456,2.020961675437034
143,2.112969542921276,2.243984259137448,1.981954826705104
12,2.1062462232192978,2.4226332372579984,1.789859209180597
120,2.095845208076888,2.252102206210774,1.939588209943002
119,2.079545140437814,2.300656771031595,1.8584335098440325
19,2.047228897459086,2.274150567267563,1.8203072276506094
154,2.0328715403767945,2.23061198110582,1.835131099647769
151,2.0299561252009855,2.2009337041326478,1.8589785462693231
161,2.0136716948549203,2.157687864448854,1.8696555252609866
525,2.0097745514369536,2.3483781184649386,1.6711709844089686
138,1.984135646864075,2.152895976293702,1.815375317434448
168,1.97897573806706,2.1708852522585347,1.7870662238755857
